,rank,name,industry,main market,2010 rank
546,547,Hai Tian,Sauce/Condiment,China,895
547,548,DHC,Female Skincare Product,"China, Japan, Korea",371
548,549,Crystal Jade,Restaurant Chain,"Hong Kong, Singapore",594
549,550,Volkswagen,Car/Automobile,Regional,612
550,551,Blue Dart,Courier Company,India,670
551,552,Nan Shan,Insurance,Taiwan,587
552,553,Drypers,Diaper,India,683
553,554,ASO,Men’s/Women’s Shoes,Taiwan,343
554,555,White Rabbit,Sweets and Candy,Regional,559
555,556,Sumitomo Misui (SMBC),Bank,Japan,New entry
556,557,Marriott,Hotel,Regional,453
557,558,SpiceJet Airlines,Budget Airlines,"India, Malaysia",507
558,559,Pentax,Camera,Regional,863
559,560,Lexus,Car/Automobile,Regional,833
560,561,Pon Pon,Shower Gel/Soap,Taiwan,781
561,562,Public Bank,Bank,Malaysia,837
562,563,ICICI Prudential,Insurance,India,New entry
563,564,Yves Saint Laurent (YSL),Fragrance/Luxury Fashion Retailer,Regional,500
564,565,Masterfood,Sauce/Condiment,Australia,847
565,566,PosLaju,Courier Company,Malaysia,646
566,567,Habib Jewels,Jewellery,Malaysia,513
567,568,PCCW,Mobile Service Provider,Hong Kong,663
568,569,Yum Yum,Instant Noodles,Thailand,710
569,570,7-Up,Carbonated Soft Drink,"Australia, China",548
570,571,Spencer,Convenience Store/Supermarket,India,748
571,572,China-SSS,Budget Airlines,China,New entry
572,573,Poh Kong,Jewellery,Malaysia,536
573,574,Dragonair,Full-service Airlines,"Hong Kong, China",547
574,575,Little Swan,White Goods,China,917
575,576,Dairy Farmers,Milk,Australia,540
576,577,Maidong,Sports Drink,China,724
577,578,Thai Post,Courier Company,Thailand,635
578,579,Cerelac,Baby Food (excluding milk powder),"Australia, India",308
579,580,Top,Detergent,"Japan, Malaysia, Singapore",441
580,581,H-TWO-O,Sports Drink,Singapore,718
581,582,Patek Philippe,Watch,Regional,New entry
582,583,Rolls Royce,Car/Automobile,Regional,991
583,584,NAB,Bank,Australia,828
584,585,Thai Life Insurance,Insurance,Thailand,New entry
585,586,Clear,Shampoo,"China, India, Southeast Asia",831
586,587,Chiclet,Chewing/Bubble Gum,Southeast Asia,484
587,588,Kaixin001,Social Networking Site,China,599
588,589,Perioe,Toothpaste,Korea,703
589,590,Enfa,Milk Powder,Thailand,557
590,591,Alfred Dunhill,Fragrance,Regional,505
591,592,TGI Friday’s,Restaurant Chain,Regional,915
592,593,Wahaha,Mineral Water,China,632
593,594,Ceat,Tyre,India,874
594,595,Tanishq,Jewellery,India,700
595,596,Hennessy,Spirits,Regional,551
596,597,Homeplus,Supermarket,Korea,793
597,598,Bright Dairy,Milk,China,407
598,599,China Telecom,Mobile Service Provider,China,843
599,600,Angelinus,Coffee Shop,Korea,New entry
600,601,Creative,Personal portable music player,"Australia, India, Southeast Asia",444
601,602,Holiday Inn,Hotel,Regional,592
602,603,AAMI,Insurance,Australia,695
603,604,Post,Cereal,Regional,657
604,605,La New,Men’s Shoes,Taiwan,428
605,606,Lifebuoy,Shower Gel/Soap,Southeast Asia,753
606,607,Yeo Hiap Seng (YEO),Tea,"Malaysia, Singapore",491
607,608,Bangchak,Petrol/Gas Station,Thailand,876
608,609,Esquire,Men’s/Women’s Shoes,Korea,542
609,610,Moutai,Spirits,"China, Hong Kong",662
610,611,IndiGo,Budget Airlines,"Hong Kong, India, Korea",797
611,612,Bank of Ayudhya,Bank,Thailand,New entry
612,613,Volvo,Automobile/Car,Regional,962
613,614,Kit Kat,Chocolate,Regional,579
614,615,Bank of Taiwan,Bank,Taiwan,637
615,616,S-oil,Petrol/Gas Station,Korea,696
616,617,BPCL,Petrol/Gas Station,India,704
617,618,Cintan,Instant Noodles,Malaysia,702
618,619,Streets,Ice-cream,Australia,812
619,620,Aura,Mineral Water,Thailand,562
620,621,Ito-en,Ready-to-drink Tea,Japan,New entry
621,622,Blue Girl,Beer,Hong Kong,746
622,623,Kose,Cosmetics,"Japan, Southeast Asia",565
623,624,Y.E.S Mineral Water,Mineral Water,Taiwan,524
624,625,Ritz-Carlton,Hotel,"Hong Kong, Singapore, China",638
625,626,Haldiram,Savoury Snack Food,India,722
626,627,Milo,Sports Drink,Regional,499
627,628,General Electric (GE),White Goods,Regional,731
628,629,Beat,Detergent,Regional,New entry
629,630,Tops,Supermarket,Thailand,651
630,631,Woori Bank,Bank,Korea,604
631,632,Big Babool,Chewing/Bubble Gum,"India, Southeast Asia",795
632,633,Timberland,Men’s Shoes,Regional,769
633,634,Nespray,Milk Powder,"China, Southeast Asia",653
634,635,Sulwhasoo,Female Skincare Product,"Hong Kong, Korea",760
635,636,Wangsteak,Restaurant Chain,Taiwan,997
636,637,Koka,Instant Noodles,"India, Malaysia, Singapore",691
637,638,Mamee,Instant Noodles,"Malaysia, Singapore",488
638,639,Matsusei,Supermarket,Taiwan,701
639,640,Lacoste,Luxury Fashion Retailer/Fragrance,Regional,926
640,641,Idemitsu,Petrol/Gas Station,Japan,738
641,642,Woodland,Men’s Shoes,India,525
642,643,San Miguel,Beer,Regional,641
643,644,Elizabeth Arden,Fragrance,Regional,682
644,645,Clarins,Skincare Product,Regional,615
645,646,Black Canyon,Coffee Shop,Thailand,684
646,647,Sunstar,Toothpaste,Japan,582
647,648,EMS,Courier Company,China,490
648,649,Fair and Lovely,Female Skincare Product,"India, Malaysia, Singapore",588
649,650,Ducati,Motorcycle,Regional,814
650,651,Dairy Queen,Ice-cream,"China, Southeast Asia",948
651,652,E-Mart,Supermarket,Korea,707
652,653,UBC Coffee,Coffee Shop,China,602
653,654,Oksusu Tea,Ready-to-drink Tea,Korea,New entry
654,655,Mizuno,Sporting Apparel,"Japan, Korea",830
655,656,Lucozade,Sports Drink,"China, Hong Kong",783
656,657,Wuliangye,Spirits,"China, Hong Kong",776
657,658,Golden Circle,Fruit Juice,"Australia, Singapore",720
658,659,Levi’s,Men’s and Women’s Fashion Retailer,Regional,527
659,660,AXE (Detergent),Detergent,Regional,New entry
660,661,Hacks,Sweets and Candy,Southeast Asia,475
661,662,Davidoff,Cigarette,Regional,735
662,663,Krong Thip,Cigarette,Thailand,616
663,664,XIAO-MEI,Ice-cream,Taiwan,825
664,665,Merries,Diaper,Japan,605
665,666,Cha Li Won,Ready-to-drink Tea,Taiwan,836
666,667,E.SUN,Bank,Taiwan,932
667,668,QQ,Social Networking Site,"China, Hong Kong",476
668,669,Bonaqua,Mineral Water,Hong Kong,514
669,670,Clairol Herbal Essences,Shampoo,"China, Southeast Asia",620
670,671,Domino’s,Fast-Food,Regional,736
671,672,Toblerone,Chocolate,Regional,888
672,673,Wills,Cigarette,"Australia, India",645
673,674,Bosch,White Goods,Regional,819
674,675,Takaful,Insurance,Malaysia,706
675,676,SPC,Petrol/Gas Station,Singapore,861
676,677,Jack’n Jill,Savoury Snack Food,"Hong Kong, Southeast Asia",765
677,678,Onida,Consumer Electronics,India,829
678,679,Salem,Cigarette,Regional,564
679,680,Dairy Milk,Chocolate,Regional,815
680,681,Timex,Watch,"India, Southeast Asia, Japan",927
681,682,Intel,Computer,Regional,980
682,683,Aoyama,Men’s Fashion Retailer,Japan,593
683,684,Ba Wang,Shampoo,China,785
684,685,Dutchmilk,Milk,Thailand,264
685,686,Anna Sui,Fragrance,Regional,426
686,687,Mizuho,Bank,Japan,688
687,688,Max Factor,Cosmetics,Regional,698
688,689,NPC,Petrol/Gas Station,"China, Taiwan",881
689,690,Continental,Tyre,Regional,850
690,691,Fila,Sporting Apparel,Korea,1387
691,692,Pura,Milk,Australia,945
692,693,Japan Post (JP),Bank,Japan,804
693,694,Swarovski,Jewellery,Regional,624
694,695,Shen Tong,Courier Company,China,897
695,696,Axis Bank,Bank,India,New entry
696,697,Khao Shong,Coffee,Thailand,New entry
697,698,Absolut,Spirits,Regional,754
698,699,Big C,Supermarket,Thailand,598
699,700,Metro,Supermarket,India,697
700,701,Topman/Topshop,Men’s and Women’s Fashion Retailer,"Malaysia, Singapore",925
701,702,Pears,Personal Care,Australia,New entry
702,703,Wantwant,Savoury Snack Food,Taiwan,567
703,704,Dongsuh,Tea/Cereal,Korea,755
704,705,Zhonghua,Toothpaste,China,New entry
705,706,Lexmark,Printer,Regional,569
706,707,Peel Fresh,Fruit Juice,Malaysia,740
707,708,Arrow,Men’s Fashion Retailer,Southeast Asia,920
708,709,Luk Fook,Jewellery,"China, Hong Kong",757
709,710,Boomer,Chewing/Bubble Gum,India,627
710,711,Ballantine’s,Spirits,Regional,New entry
711,712,TCL,TV,China,New entry
712,713,British Airways,Full-service Airlines,Regional,619
713,714,Porsche,Automobile/Car,Regional,935
714,715,Muang Thai Insurance,Insurance,Thailand,789
715,716,Sapporo,Beer,Japan,656
716,717,Bonia,Women’s Shoes,"Malaysia, Singapore",522
717,718,Life,Sauce/Condiment,Malaysia,New entry
718,719,Ice Mountain,Mineral Water,Singapore,654
719,720,Zanussi,White Goods,"Hong Kong, Malaysia",730
720,721,Belle,Women’s Shoes,China,613
721,722,Fernleaf,Milk Powder,Malaysia,796
722,723,Wei Lih,Instant Noodles,Taiwan,852
723,724,DTDC,Courier Company,India,734
724,725,17 Tea,Ready-to-drink Tea,Korea,New entry
725,726,Grand Hyatt,Hotel,"China, Southeast Asia",937
726,727,Miwon,Sauce/Condiment,Korea,990
727,728,Elastine,Shampoo,Korea,672
728,729,Chang Beer,Beer,Thailand,690
729,730,Leo,Beer,Thailand,853
730,731,Giordano,Men’s and Women’s Fashion Retailer,Regional,515
731,732,Kent,Cigarette,Regional,609
732,733,Kenwood,Home Audio,Regional,477
733,734,Mango (MNG),Women’s Fashion Retailer,"China, Southeast Asia",664
734,735,Yanjing,Beer,China,891
735,736,Dolce & Gabbana,Fragrance/Luxury Fashion Retailer,Regional,699
736,737,Royal Host,Restaurant Chain,Japan,900
737,738,Superbubble,Chewing/Bubble Gum,Taiwan,596
738,739,Liby,Detergent,China,898
739,740,Maruchan,Instant Noodles,Japan,686
740,741,AXE,Fragrance,Regional,644
741,742,Nestum,Baby Food (excluding milk powder),"India, Southeast Asia",517
742,743,Oriental,Hotel,"Singapore, Thailand",790
743,744,Martell,Spirits,"China, Southeast Asia",832
744,745,Elcanto,Shoes,Korea,879
745,746,Pxmart,Supermarket,Taiwan,919
746,747,Kinley,Mineral Water,India,649
747,748,Cow Soap,Shower Gel/Soap,"Hong Kong, Japan",901
748,749,Protex,Shower Gel/Soap,Thailand,860
749,750,Ryoe,Shampoo,Korea,New entry
750,751,Taishin International Bank,Credit Card/Bank,Taiwan,742
751,752,Lee Hwa,Jewellery,Singapore,884
752,753,RT Mart,Supermarket,Taiwan,845
753,754,Bulla,Ice-cream,Australia,767
754,755,Renault Samsung Motors,Automobile/Car,Korea,869
755,756,Parle,Sweets and Candy,India,979
756,757,Morewater,Mineral Water,Taiwan,708
757,758,Minere,Mineral Water,Thailand,693
758,759,Inter-Continental,Hotel,Regional,New entry
759,760,Shanghaojia,Food,China,New entry
760,761,Chungjungwon,Sauce/Condiment,Korea,974
761,762,Boots,Pharmacy/Drugstore,"India, Thailand",573
762,763,Versace,Luxury Fashion Retailer/Fragrance,Regional,608
763,764,Yuan Tong Express,Courier Company,China,906
764,765,Dusit,Hotel,Thailand,882
765,766,Camel,Cigarette,Regional,625
766,767,Taywin,Men’s Shoes,Thailand,799
767,768,Danggimeori,Shampoo,Korea,929
768,769,TVS,Motorcycle,India,New entry
769,770,Hubba Bubba,Chewing/Bubble Gum,"Australia, India",786
770,771,Super Coffee Mix,Coffee,"Malaysia, Singapore",870
771,772,77,Chocolate,Taiwan,674
772,773,I-MEI,Sweets and Candy,Taiwan,714
773,774,Rado,Watch,Regional,779
774,775,Bubble Yum,Chewing/Bubble Gum,Regional,New entry
775,776,Knorr,Food,Regional,New entry
776,777,Pirelli,Tyre,"Australia, India, Southeast Asia",678
777,778,King’s Creameries,Ice-cream,Singapore,New entry
778,779,Asics,Sporting Apparel,Japan,New entry
779,780,Hyundai Logiem,Courier Company,Korea,New entry
780,781,Indian Airlines,Full-service Airlines,"India, Southeast Asia",761
781,782,Guinness,Beer,"Australia, China, Southeast Asia",877
782,783,Sanitarium,Cereal,Australia,784
783,784,Tung Lok,Restaurant,Singapore,New entry
784,785,Rin,Detergent,India,848
785,786,Priceline,Pharmacy/Drugstore,Australia,762
786,787,Unity Pharmacy,Pharmacy/Drugstore,Singapore,772
787,788,Café Bene,Coffee Shop,Korea,New entry
788,789,Norton,Computer Software,Regional,782
789,790,Victor,Home Audio,Regional,597
790,791,SE 555,Cigarette,Regional,711
791,792,Ochaen,Tea,Taiwan,958
792,793,Friendster,Social Networking Site,Regional,483
793,794,Sizzler,Restaurant Chain,Australia,774
794,795,Megumilk,Milk,Japan,756
795,796,Salz,Toothpaste,Thailand,New entry
796,797,Diners Club,Credit card,Regional,New entry
797,798,Wanjashan,Sauce/Condiment,China,944
798,799,ITC,Hotel,India,New entry
799,800,Pasteur,Milk,Korea,741
800,801,Fountain,Sauce/Condiment,Australia,New entry
801,802,RAC,Insurance,Southeast Asia,803
802,803,Linux,Computer Software,"China, Southeast Asia",552
803,804,Friskies,Pet Food,"Australia, Hong Kong",623
804,805,Cosmo Oil,Petrol/Gas Station,Japan,894
805,806,Cold Stone,Ice-cream,Regional,New entry
806,807,Fujiya,Food,Japan,New entry
807,808,Trident,Chewing/Bubble Gum,Regional,939
808,809,BC Card,Credit Card,Korea,603
809,810,Sumitomo Life,Insurance,Japan,849
810,811,Benson & Hedges,Cigarette,"Australia, India",749
811,812,Smith’s,Snack Food,Australia,658
812,813,Oberoi,Hotel,Southeast Asia,995
813,814,Hi5,Social Networking Site,"Hong Kong, India, Southeast Asia",432
814,815,KLIM,Milk,China,907
815,816,Target,Retailer,Australia,810
816,817,Gillette,Male Skincare Product,Regional,889
817,818,Amcal,Pharmacy/Drugstore,Australia,743
818,819,Konka,Consumer Electronics,"China, Hong Kong",New entry
819,820,Soda,Women’s Shoes,Regional,New entry
820,821,IFB,Home & Kitchen Appliances,India,New entry
821,822,Poh Heng,Jewellery,Singapore,New entry
822,823,Barista (Taiwan),Coffee/Coffee shop,Taiwan,New entry
823,824,General,Air Conditioner,China,530
824,825,Kimball,Sauce/Condiment,Malaysia,New entry
825,826,Mandarin Oriental,Hotel,"Hong Kong, Southeast Asia",768
826,827,Mirinda,Carbonated Soft Drink,Regional,New entry
827,828,Aflac,Insurance Provider,Regional,New entry
828,829,Simpson,Washing Machine,Australia,679
829,830,Winfield,Cigarette,Australia,966
830,831,Pierre Cardin,Men’s Shoes/Men’s Fashion Retailer,"China, Southeast Asia",473
831,832,Taj Mahal (Tea),Tea,India,780
832,833,Trappist,Milk,Hong Kong,New entry
833,834,Gold Flake,Cigarette,India,823
834,835,Agricultural Bank of China,Bank,China,New entry
835,836,ito Yokado,Supermarket,Japan,983
836,837,Novotel,Hotel,Regional,681
837,838,China Mobile (HK),Mobile Service Provider,Hong Kong,New entry
838,839,KoKo Krunch (Nestlé),Cereal,Regional,New entry
839,840,NRMA,Insurance,Australia,820
840,841,Fantastic,Instant Noodles,Australia,New entry
841,842,Hainan Airlines,Airlines (Budget/Full service),China,New entry
842,843,Healthy Boy,Sauce/Condiment,Thailand,857
843,844,Aavin,Milk,India,969
844,845,Coffee Club,Coffee Shop,Australia,808
845,846,Aoki,Men’s Fashion Retailer,Japan,801
846,847,Jimmy Choo,Fashion,Regional,New entry
847,848,Long Life,Cigarette,Taiwan,665
848,849,Natural Confectionery Co.,Sweets and Candy,Australia,New entry
849,850,S&P,Restaurant Chain,Thailand,910
850,851,Haywards,Beer,India,999
851,852,Voltas,Air Conditioner,"India, Australia",988
852,853,Sheng Shiong,Supermarket,Singapore,New entry
853,854,Trigem,Computer,Korea,New entry
854,855,Blue Moon,Detergent,China,New entry
855,856,Aldi,Supermarket,Australia,566
856,857,Remy Martin,Spirits,Regional,687
857,858,Cathay United Bank,Bank,Taiwan,813
858,859,Arnott’s,Savoury Snack Food,Australia,New entry
859,860,Prouds,Jewellery,Australia,943
860,861,Uncle Toby,Cereal,Australia,560
861,862,Capico,Savoury Snack Food,Regional,New entry
862,863,Imperial Hotel,Hotel,"Japan, Thailand",856
863,864,Allianz,Insurance Provider,India,New entry
864,865,Scholl,Shoes,"Malaysia, Singapore",916
865,866,Pro Sweat,Sports Drink,Taiwan,New entry
866,867,Mitsuya Cider,Carbonated Soft Drink,Japan,New entry
867,868,Zhenkungfu,Restaurant,China,New entry
868,869,Raymonds,Men’s Fashion Retailer,India,976
869,870,Mr Muscle,Detergent,Regional,986
870,871,BenQ,Consumer Electronics,Taiwan,New entry
871,872,Denon,Home Audio,Regional,880
872,873,Mister Potato,Savoury Snack Food,Southeast Asia,994
873,874,Saravana Bhavan,Restaurant,"India, Malaysia, Singapore",New entry
874,875,New Balance,Sporting Apparel,Regional,New entry
875,876,Ali Café,Coffee,Malaysia,New entry
876,877,Jin Air,Budget Airlines,Korea,840
877,878,Aekyung,Shower Gel/Soap,Korea,628
878,879,Esprit,Men’s and Women’s Fashion Retailer,"China, Southeast Asia",634
879,880,Choice,Coffee,Thailand,New entry
880,881,Chemist Warehouse,Pharmacy/Drugstore,Australia,890
881,882,KTC,Credit Card,Thailand,938
882,883,Charles & Keith,Women’s Shoes,"Malaysia, Singapore",677
883,884,Jukyum,Toothpaste,Korea,758
884,885,Crown,Food,Regional,New entry
885,886,Nine West,Women’s Shoes,"Singapore, Hong Kong",New entry
886,887,Happy Bath,Shower Gel/Soap,Korea,New entry
887,888,Cornetto,Ice-cream,Regional,New entry
888,889,Sisley,Cosmetics/Skincare Product,Regional,New entry
889,890,Sanyuan,Milk,"China, Taiwan",899
890,891,Grand Formosa Regent,Hotel,Taiwan,New entry
891,892,Hyosung,Motorcycle,Korea,New entry
892,893,Rivers,Men’s Fashion Retailer,Australia,865
893,894,Kolon,Sporting Apparel,Korea,New entry
894,895,Clorets,Chewing/Bubble Gum/Sweets and Candy,Southeast Asia,751
895,896,Twinings,Tea,Regional,447
896,897,OB,Beer,Korea,817
897,898,GUM,Toothpaste,"Hong Kong, China, Japan",New entry
898,899,Nate,Social Networking Site/Internet Search Engine,Korea,652
899,900,Sina,Social Networking Site,China,402
900,901,Daiichi Life,Insurance,Japan,912
901,902,566,Shampoo,China,New entry
902,903,Aigo,Digital Products,China,New entry
903,904,UHA Mikakuto,Sweets and Candy,Japan,New entry
904,905,Ajinomoto,Sauce/Condiment,"Japan, Korea, Southeast Asia",747
905,906,Tully’s,Coffee,"Japan, Korea, Singapore",942
906,907,Chi Mei,TV,Taiwan,New entry
907,908,Tooheys,Beer,Australia,New entry
908,909,Daelim,Motorcycle,Korea,816
909,910,Imperial,Personal care,Regional,New entry
910,911,Hera,Female Skincare Product,Korea,924
911,912,Toll,Courier Company,Australia,New entry
912,913,GS,Supermarket,Korea,600
913,914,Himalaya,Mineral Water,India,New entry
914,915,Fancl,Female Skincare Product,"Hong Kong, Singapore",824
915,916,Proton,Automobile/Car,Malaysia,New entry
916,917,Safi,Personal care,Regional,New entry
917,918,Wei-Wei,Instant Noodles,China,New entry
918,919,Jack Daniel,Spirits,Regional,655
919,920,Terry White,Pharmacy/Drugstore,Australia,750
920,921,Gerber,Baby Food (excluding milk powder),Regional,445
921,922,Uniqlo,Men’s and Women’s Fashion Retailer,"China, Hong Kong, Japan",621
922,923,Swipe,Detergent,Regional,New entry
923,924,Bingrae,Ice-cream,Korea,New entry
924,925,Mie Sedap,Instant Noodles,Southeast Asia,New entry
925,926,Victoria Bitter (VB),Beer,Australia,878
926,927,Koikeya,Savoury snack food,Japan,New entry
927,928,Wakodo,Baby Food (excluding milk powder),"Japan, Korea",666
928,929,Michael Hill,Jewellery,Australia,New entry
929,930,Florsheim,Men’s Shoes,Regional,New entry
930,931,Mövenpick,Ice-cream,Regional,New entry
931,932,Da Da,Chewing/Bubble Gum,"China, Hong Kong",858
932,933,Fresh Delight,Dairy Products,Regional,New entry
933,934,Dentiste,Toothpaste,Regional,New entry
934,935,Duroyal,Ice-cream,Taiwan,618
935,936,Center Fresh,Chewing/Bubble Gum,India,647
936,937,M-Sport,Sports Drink,Thailand,New entry
937,938,Dabur,Toothpaste,India,New entry
938,939,SPD Bank,Bank,China,New entry
939,940,City Super,Supermarket,Hong Kong,New entry
940,941,PAL,Pet Food,"Australia, Hong Kong",864
941,942,Royce’/Royce,Chocolate,"Hong Kong, Singapore",New entry
942,943,Morning Fresh,Detergent,Australia,905
943,944,Soo Kee (SKJ),Jewellery,Singapore,960
944,945,Suncorp,Financial Service,Australia,New entry
945,946,Ottogi,Sauce/Condiment,Korea,904
946,947,Carlton,Beer,Australia,New entry
947,948,Fuji (Restaurant chain),Restaurant Chain,Thailand,955
948,949,Revive isotonic,Sports Drink,Malaysia,766
949,950,Frooti,Fruit Juice,India,New entry
950,951,Heaven & Earth,Ready-to-drink Tea,Singapore,New entry
951,952,CBA,Bank,Australia,New entry
952,953,Fair And Handsome,Male Skincare Product,India,961
953,954,Saizeriya,Restaurant Chain,Japan,New entry
954,955,Guangdong Development,Bank,China,New entry
955,956,Ricoh,Digital Products,Regional,New entry
956,957,Miele,Consumer Electronics,Regional,New entry
957,958,Heart Beat,Sweets and Candy,Australia,998
958,959,Mei Ri C,Fruit Juice,Taiwan,922
959,960,Cesar,Pet Food,"Japan, Korea, Southeast Asia",643
960,961,Royal,Pet Food,"China, Taiwan",873
961,962,Asience,Shampoo,Regional,New entry
962,963,Otafuku,Food,Japan,New entry
963,964,Wu Yang,Ice-cream,China,New entry
964,965,Tommy Hilfiger,Fragrance/Men’s Fashion Retailer,Regional,721
965,966,Café Amazon,Coffee Shop,Thailand,New entry
966,967,Kerasys,Shampoo,Korea,New entry
967,968,Pigeon,Baby Product,Regional,New entry
968,969,Thums Up,Carbonated Soft Drink,India,792
969,970,Hogs Breath,Restaurant Chain,Australia,New entry
970,971,Kinmen Kao Liang,Spirits,Taiwan,867
971,972,Bank of Communications,Bank,"China, Hong Kong",New entry
972,973,Ginvera,Shower Gel/Soap,"Malaysia, Singapore",911
973,974,Shin Kong Life Insurance,Insurance,Taiwan,872
974,975,Nippon Express,Courier Company,Regional,New entry
975,976,Centara,Hotel,Thailand,New entry
976,977,IT,Men’s and Women’s Fashion Retailer,"China, Hong Kong",729
977,978,Australia post,Courier Company,Australia,New entry
978,979,Gogo no Kocha,Ready-to-drink Tea,Japan,New entry
979,980,Mister Donut,Fast-Food,Japan,New entry
980,981,99 Speedmart,Convenience Store,Malaysia,New entry
981,982,Fosters,Beer,Australia,921
982,983,The Professional Couriers,Courier Company,India,New entry
983,984,XXXX,Beer,Australia,New entry
984,985,Hana,Bank,Korea,New entry
985,986,Park Avenue,Personal Care/Men’s Shoes,India,New entry
986,987,Sansui,DVD Player,"China, India, Japan",902
987,988,Magnum,Ice-cream,Regional,New entry
988,989,Taster’s Choice,Coffee,Regional,New entry
989,990,Fossil,Jewellery/Watch,"Singapore, Australia",New entry
990,991,Arun,Ice-cream,India,New entry
991,992,Aviva,Insurance,Regional,New entry
992,993,Double Happiness,Cigarette,China,New entry
993,994,Bacardi,Spirits,Regional,New entry
994,995,Leconte,Chocolate,China,928
995,996,Devondale,Dairy Products,Australia,New entry
996,997,More,Supermarket,India,New entry
997,998,Corona,Beer,Regional,New entry
998,999,Harvey Fresh,Fruit Juice,Australia,New entry
999,1000,Gatsby,Male Skincare Product,Regional,953
