,ipo year,number of employees,country,ceo,founded_year,market_cap,name
276,,"48,500",USA,James C. Fish Jr,1968.0,67.67 Billion USD,WASTE MANAGEMENT
277,,,China,,1996.0,66.97 Billion USD,NONGFU SPRING
278,,"85,947",Ireland,Craig Arnold,1911.0,66.91 Billion USD,EATON CORPORATION
279,,"28,239",China,Ding Lei,1997.0,66.90 Billion USD,NETEASE
280,,"168,391",Japan,Koji Arima,1949.0,66.75 Billion USD,DENSO CORPORATION
281,2014.0,"71,551",Switzerland,Ralph Hamers,1998.0,66.67 Billion USD,UBS GROUP AG
282,2017.0,"5,661",USA,Evan Spiegel,2011.0,66.58 Billion USD,SNAP INC
283,,"60,500",China,"Doyle Mitchell, Jr.",1988.0,66.41 Billion USD,INDUSTRIAL BANK
284,,"186,851",Mexico,Daniel Hajj Aboumrad,2000.0,66.20 Billion USD,AMERICA MOVIL
285,,"26,123",Indonesia,Jahja Setiaatmadja,1957.0,66.01 Billion USD,PT BANK CENTRAL ASIA TBK
286,,"20,875",USA,Seifi Ghasemi,1940.0,65.93 Billion USD,AIR PRODUCTS AND CHEMICALS
287,,"47,000",USA,Christophe Beck,1923.0,65.87 Billion USD,ECOLAB
288,1994.0,"50,800",USA,Richard Fairbank,1994.0,65.84 Billion USD,CAPITAL ONE FINANCIAL CORPORATION
289,,"117,356",Japan,Jun Seki,1973.0,65.39 Billion USD,NIDEC CORPORATION
290,,"80,369",Japan,Masanori Togawa,1924.0,65.36 Billion USD,DAIKIN INDUSTRIES
291,2015.0,"8,521",USA,Jack Dorsey,2009.0,65.29 Billion USD,BLOCK INC
292,,"29,000",Singapore,Piyush Gupta,1968.0,65.12 Billion USD,DBS GROUP HOLDINGS
293,,55,USA,,2009.0,,WHATSAPP
294,,"76,182",China,Yang Jiping,1995.0,64.99 Billion USD,CHINA SHENHUA ENERGY COMPANY
295,,"17,100",USA,Robert M. Blue,1983.0,64.96 Billion USD,DOMINION ENERGY
296,1991.0,"10,368",USA,Leonard Schleifer,1988.0,64.93 Billion USD,REGENERON PHARMACEUTICALS
297,,"189,512",Netherlands,Carlos Tavares,2021.0,64.80 Billion USD,STELLANTIS N.V
298,,"49,000",USA,Tricia Griffith,1937.0,63.81 Billion USD,PROGRESSIVE CORPORATION
299,,"10,780",China,,1954.0,63.57 Billion USD,CHINA TOURISM GROUP DUTY FREE CORPORATION LIMITED
300,,"17,377",Taiwan,Rick Tsai,1997.0,63.35 Billion USD,MEDIATEK
301,1980.0,"11,550",USA,Richard P. Wallace,1997.0,63.21 Billion USD,KLA CORPORATION
302,,"88,000",USA,Kathy Warden,1994.0,63.00 Billion USD,NORTHROP GRUMMAN CORPORATION
303,2015.0,"4,556",Italy,BENEDETTO VIGNA,1947.0,62.96 Billion USD,FERRARI
304,,"239,000",Mexico,Guilherme Loureiro,1952.0,62.57 Billion USD,WAL-MART DE MEXICO
305,,"12,500",USA,Chano Fernandez,2005.0,62.56 Billion USD,WORKDAY
306,,"9,819",China,,1991.0,62.48 Billion USD,SHENZHEN MINDRAY BIO-MEDICAL ELECTRONICS
307,,"5,800",USA,Joseph D. Russell Jr,1972.0,62.41 Billion USD,PUBLIC STORAGE
308,,"3,226",India,Sashidhar Jagdishan,1994.0,62.40 Billion USD,HDFC
309,,"50,000",USA,Gregory C. Case,1982.0,62.31 Billion USD,AON
310,,"43,000",UK,Laxman Narasimhan,1823.0,62.30 Billion USD,RECKITT BENCKISER GROUP
311,,"26,969",India,Sanjiv Bajaj,2007.0,61.95 Billion USD,BAJAJ FINANCE
312,,"24,700",USA,Richard Adkerson,1988.0,61.50 Billion USD,FREEPORT-MCMORAN
313,,"191,189",Spain,Jose Antonio Alvarez,1857.0,61.03 Billion USD,BANCO SANTANDER
314,2021.0,"3,730",USA,Brian Armstrong,2012.0,60.85 Billion USD,"COINBASE GLOBAL, INC"
315,,"95,850",Sweden,Martin Lundstedt,1927.0,60.85 Billion USD,AB VOLVO
316,,"217,731",France,Xavier Huillard,1899.0,60.65 Billion USD,VINCI
317,,"18,500",France,Alexandre Ricard,1975.0,60.06 Billion USD,PERNOD RICARD
318,,"41,000",USA,Michael F. Mahoney,1979.0,60.01 Billion USD,BOSTON SCIENTIFIC CORPORATION
319,,"17,000",Saudi Arabia,Olayan M. Alwetaid,1998.0,59.86 Billion USD,SAUDI TELECOM COMPANY (STC)
320,,"90,000",UK,DUNCAN WANBLAD,1917.0,59.39 Billion USD,ANGLO AMERICAN
321,,"50,288",Germany,Reinhard Ploss,1999.0,59.35 Billion USD,INFINEON TECHNOLOGIES AG
322,,"101,000",Russia,Vagit Alekperov,1991.0,59.25 Billion USD,PJSC LUKOIL
323,,"47,313",Japan,Masayoshi Son,1981.0,59.24 Billion USD,SOFTBANK CORP.
324,,"103,100",USA,Phebe Novakovic,1952.0,59.22 Billion USD,GENERAL DYNAMICS CORPORATION
325,,"2,700",Australia,Peter Kenneth Allen,2014.0,59.07 Billion USD,SCENTRE GROUP
326,2010.0,"31,000",Netherlands,"Kurt Sievers
Richard L. Clemmer",2006.0,58.86 Billion USD,NXP SEMICONDUCTORS
327,,"245,642",India,Vinay M Tonse,1955.0,58.77 Billion USD,STATE BANK OF INDIA
328,2015.0,"33,500",UK,Erik Engstrom,1993.0,58.74 Billion USD,RELX
329,,"33,427",China,Lei Jun,2010.0,58.45 Billion USD,XIAOMI CORPORATION
330,,"17,209",Australia,Shemara Wikramanayake,1969.0,116.67 Billion USD,MACQUARIE GROUP
331,2000.0,"7,800",USA,Francis deSouza,1998.0,57.89 Billion USD,ILLUMINA
332,,"11,500",USA,Andrew Anagnost,1982.0,57.70 Billion USD,AUTODESK
333,,"16,218",Switzerland,Pierre-Alain Ruffieux,1897.0,57.62 Billion USD,LONZA GROUP
334,,"37,506",Australia,Shayne Elliott,1835.0,57.48 Billion USD,ANZ BANKING GROUP
335,,"2,800",USA,Ezra Yacob,1999.0,57.43 Billion USD,EOG RESOURCES
336,2002.0,"281,192",China,Jie Yang,1995.0,57.14 Billion USD,CHINA TELECOM CORPORATION
337,,"40,143",Australia,Peter King,1982.0,57.03 Billion USD,WESTPAC BANKING CORPORATION
338,,"86,700",USA,Lal Karsanbhai,1890.0,57.00 Billion USD,EMERSON ELECTRIC COMPANY
339,2000.0,"43,000",USA,Michel A. Khalaf,1868.0,56.58 Billion USD,METLIFE
340,1991.0,"3,900",USA,Reshma Kewalramani,1989.0,56.41 Billion USD,VERTEX PHARMACEUTICALS
341,,"9,276",China,,1949.0,56.40 Billion USD,SHANXI XINGHUACUN FEN WINE FACTORY
342,1997.0,"57,000",Netherlands,Steven van Rijswijk,1991.0,56.18 Billion USD,ING GROUP
343,,"380,714",Japan,Toshiaki Higashihara,1910.0,56.15 Billion USD,HITACHI
344,,"14,100",Germany,Rolf Habben Jansen,1970.0,56.00 Billion USD,HAPAG-LLOYD
345,,"45,282",Canada,Victor G. Dodig,1961.0,55.94 Billion USD,CANADIAN IMPERIAL BANK OF COMMERCE
346,,"101,000",USA,George Oliver,1885.0,55.83 Billion USD,JOHNSON CONTROLS INTERNATIONAL
347,,,China,,2005.0,55.66 Billion USD,"YIHAI KERRY ARAWANA HOLDINGS CO., LTD"
348,,"9,709",Canada,Tim S McKay,1973.0,55.65 Billion USD,CANADIAN NATURAL RESOURCES
349,,"2,980",Austria,Michael Strugl,1947.0,55.64 Billion USD,VERBUND AG
350,,"24,848",Switzerland,Paul Schuler,1910.0,55.61 Billion USD,SIKA AG
351,,"31,518",USA,Christopher M. Crane,2000.0,55.41 Billion USD,EXELON CORPORATION
352,,,Russia,,1996.0,55.25 Billion USD,OPEN JOINT STOCK COMPANY OMZ
353,2009.0,"158,000",USA,Todd J Vasos,1939.0,55.21 Billion USD,DOLLAR GENERAL CORPORATION
354,,"5,451",UAE,Hana Al Rostamani,2017.0,55.05 Billion USD,FIRST ABU DHABI BANK
355,,"5,300",USA,Stefan Bird,1910.0,55.00 Billion USD,PACIFICORP
356,,"45,000",Canada,Steve Hasker,2008.0,54.85 Billion USD,THOMSON REUTERS CORPORATION
357,,"62,285",Germany,Kasper Rorsted,1924.0,54.84 Billion USD,ADIDAS
358,,"4,553",China,,2004.0,54.82 Billion USD,EAST MONEY INFORMATION
359,2007.0,"15,500",Argentina,Stelleo Passos Tolda,1999.0,54.77 Billion USD,MERCADOLIBRE
360,,"6,574",Japan,Shuntaro Furukawa,1889.0,54.63 Billion USD,NINTENDO
361,,"99,538",Germany,Werner Baumann,1863.0,54.46 Billion USD,BAYER
362,,"76,800",France,Olivier Andries,2005.0,54.38 Billion USD,SAFRAN
363,,"3,228",China,,1573.0,54.32 Billion USD,LUZHOU LAOJIAO
364,,"120,000",USA,Anthony Capuano,1927.0,54.28 Billion USD,MARRIOTT INTERNATIONAL
365,,"231,671",India,Thierry Delaporte,1945.0,54.26 Billion USD,WIPRO
366,,"105,615",Italy,Carlo Messina,2007.0,53.95 Billion USD,INTESA SANPAOLO
367,,"63,174",China,,1984.0,53.66 Billion USD,GREAT WALL MOTOR COMPANY
368,,"57,727",Japan,Tadashi Yanai,1963.0,53.64 Billion USD,FAST RETAILING
369,,"24,158",UK,David Schwimmer,2007.0,53.54 Billion USD,LONDON STOCK EXCHANGE GROUP
370,,"601,276",Taiwan,Yang-wei Liu,1974.0,53.43 Billion USD,HON HAI PRECISION INDUSTRY
371,2005.0,"41,000",China,Robin Li,2000.0,53.37 Billion USD,BAIDU
372,,"7,664",Japan,Tatsuro Kosaka,1943.0,53.00 Billion USD,CHUGAI PHARMACEUTICAL
373,,"3,300",USA,David Simon,1993.0,53.00 Billion USD,SIMON PROPERTY GROUP
374,,"27,500",USA,Robert Gamgort,1981.0,52.89 Billion USD,KEURIG DR PEPPER
375,,"121,925",China,,1993.0,52.74 Billion USD,S.F. HOLDING
376,,"211,000",USA,,,,IKEA
377,,"56,000",Denmark,Jens Bjorn Andersen,1976.0,52.51 Billion USD,DSV PANALPINA
378,,"38,600",China,XIE Yonglin,1995.0,52.30 Billion USD,PING AN BANK
379,,"23,683",UK,John Pettigrew,1990.0,52.12 Billion USD,NATIONAL GRID TRANSCO
380,2012.0,"10,473",USA,Nikesh Arora,2005.0,51.85 Billion USD,PALO ALTO NETWORKS
381,,"89,000",Switzerland,Terrence Curtin,2007.0,51.74 Billion USD,TE CONNECTIVITY
382,,"31,495",Italy,Claudio Descalzi,1953.0,51.73 Billion USD,ENI S.P.A.
383,,"137,284",China,,2004.0,51.65 Billion USD,LUXSHARE PRECISION INDUSTRY
384,,"17,917",India,Gopal Vittal,1995.0,51.52 Billion USD,BHARTI AIRTEL
385,,"49,100",USA,Thomas P Gibbons,2007.0,51.47 Billion USD,THE BANK OF NEW YORK MELLON CORPORATION
386,2009.0,"9,700",USA,Ken Xie,2000.0,51.45 Billion USD,FORTINET
387,,"1,941",Germany,,2008.0,51.38 Billion USD,BIONTECH SE
388,,"37,245",Japan,Hiroshi Suzuki,1941.0,51.22 Billion USD,HOYA CORPORATION
389,,"28,000",Qatar,Abdulla Mubarak Al-Khalifa,1964.0,51.15 Billion USD,QATAR NATIONAL BANK
390,,"6,269",USA,Eric Yuan,2011.0,51.14 Billion USD,ZOOM VIDEO COMMUNICATIONS
391,,"7,130",USA,A. James Teague,1968.0,51.06 Billion USD,ENTERPRISE PRODUCTS PARTNERS
392,,"87,828",China,Deqi Ren,1908.0,51.06 Billion USD,BANK OF COMMUNICATIONS
393,,"24,431",China,,1997.0,51.00 Billion USD,JIANGSU HENGRUI MEDICINE
394,,"61,576",UK,Charlie Nunn,2009.0,51.00 Billion USD,LLOYDS BANKING GROUP
395,,"211,374",Japan,Toshihiro Mibe,1946.0,50.89 Billion USD,HONDA MOTOR
396,,"75,184",Japan,Tsuneo Murata,1944.0,50.87 Billion USD,MURATA MANUFACTURING
397,1992.0,"16,361",USA,Chi-Foon Chan,1986.0,50.69 Billion USD,SYNOPSYS
398,,"15,392",China,,1998.0,50.60 Billion USD,WANHUA CHEMICAL GROUP
399,2007.0,"34,000",USA,Rangarajan Raghuram,1998.0,50.55 Billion USD,VMWARE
400,,"8,034",Japan,Toshio Kagami,1960.0,50.54 Billion USD,ORIENTAL LAND
401,,"71,000",India,Uday Kotak,2003.0,50.49 Billion USD,KOTAK MAHINDRA BANK
402,,"36,600",USA,Peter Zaffino,1919.0,50.43 Billion USD,AMERICAN INTERNATIONAL GROUP (AIG)
403,1996.0,"16,000",UK,Lance Uggla,1959.0,50.25 Billion USD,IHS MARKIT
404,,"33,305",China,,2000.0,50.14 Billion USD,WUXI APPTEC
405,,"9,800",USA,Bobby Kotick,2008.0,49.88 Billion USD,ACTIVISION BLIZZARD
406,,"4,092",USA,Hilton Schlosberg,1935.0,49.77 Billion USD,MONSTER BEVERAGE CORPORATION
407,,,UAE,,,,FIRST GULF BANK
408,,"13,777",Mexico,Oscar Gonzalez Rocha,1952.0,49.75 Billion USD,SOUTHERN COPPER CORPORATION
409,,"28,051",Finland,"Frank Vang-Jensen
Casper von Koskull",2000.0,49.61 Billion USD,NORDEA BANK ABP
410,,"18,687",UK,Charles F. Lowrey,1848.0,49.34 Billion USD,PRUDENTIAL
411,,"86,800",Japan,Makoto Takashima,2002.0,49.24 Billion USD,SUMITOMO MITSUI FINANCIAL GROUP
412,2001.0,"18,703",China,Yang Hua,1999.0,49.17 Billion USD,CNOOC LIMITED
413,,"92,000",USA,Olivier Le Peuch,1926.0,49.13 Billion USD,SCHLUMBERGER
414,,"90,000",USA,Richard Adam Norwitt,1932.0,49.11 Billion USD,AMPHENOL CORPORATION
415,2013.0,"79,000",USA,Ari Bousbib,1982.0,49.08 Billion USD,IQVIA HOLDINGS
416,2021.0,"1,600",USA,David Baszucki,2004.0,48.84 Billion USD,ROBLOX CORP
417,,"11,380",China,,1995.0,48.79 Billion USD,CITIC SECURITIES COMPANY
418,1992.0,"18,400",USA,Neil Hunn,1981.0,48.67 Billion USD,ROPER TECHNOLOGIES
419,,"1,932",USA,Scott D. Sheffield,1997.0,48.60 Billion USD,PIONEER NATURAL RESOURCES COMPANY
420,,"45,000",USA,Michael D. Hsu,1872.0,48.40 Billion USD,KIMBERLY-CLARK CORPORATION
421,,710,Sweden,Christian Sinding,1994.0,48.28 Billion USD,EQT AB (PUBL)
422,1990.0,"4,891",USA,Victor Peng,1984.0,48.22 Billion USD,XILINX
423,,"82,997",Japan,Takehiko Kakiuchi,1950.0,48.17 Billion USD,MITSUBISHI CORPORATION
424,,"7,283",Canada,Francois Poirier,1951.0,47.88 Billion USD,TC ENERGY CORPORATION
425,,"402,000",Germany,,,,EDEKA GROUP
426,,"122,000",Australia,Rob Scott,1914.0,47.59 Billion USD,WESFARMERS
427,,"83,000",UK,C. S. Venkatakrishnan,1896.0,47.54 Billion USD,BARCLAYS PLC
428,,"52,100",Canada,Mirko Bibic,1983.0,47.39 Billion USD,BCE (Bell Canada Enterprises)
429,,"14,400",USA,Tom Palmer,1921.0,47.39 Billion USD,NEWMONT CORPORATION
430,,282,UK,Simon A Borrows,1945.0,47.30 Billion USD,3I GROUP
431,,"75,901",Russia,Vladimir Potanin,1993.0,47.23 Billion USD,MMC NORILSK NICKEL
432,,"210,966",India,C Vijayakumar,1976.0,46.93 Billion USD,HCL TECHNOLOGIES
433,,"6,429",Denmark,Mads Nipper,2006.0,46.81 Billion USD,ORSTED A/S
434,,"95,500",USA,Bruce D. Broussard,1961.0,46.68 Billion USD,HUMANA
435,1991.0,"10,350",USA,Jay Mazelsky,1983.0,46.66 Billion USD,IDEXX LABORATORIES
436,,"7,763",China,,2014.0,46.60 Billion USD,NIO INC
437,,"2,730",South Korea,John Rim,2011.0,46.57 Billion USD,SAMSUNG BIOLOGICS
438,,"277,000",USA,Rosalind Brewer,2014.0,46.52 Billion USD,WALGREENS BOOTS ALLIANCE
439,1983.0,"15,000",USA,Martin Mucci,1971.0,46.48 Billion USD,PAYCHEX
440,,"50,319",China,,1992.0,46.40 Billion USD,MUYUAN FOODS
441,,"73,037",France,Philippe Brassac,1894.0,46.25 Billion USD,CREDIT AGRICOLE
442,,"9,300",USA,Bill Newlands,1995.0,46.22 Billion USD,CONSTELLATION BRANDS
443,,"16,842",Switzerland,Gilles Andrier,1895.0,46.07 Billion USD,GIVAUDAN SA
444,,"9,300",USA,Anirudh Devgan,1988.0,46.01 Billion USD,CADENCE DESIGN SYSTEMS
445,1993.0,"83,636",USA,Gregory D. Johnson,1957.0,45.97 Billion USD,O'REILLY AUTOMOTIVE
446,,"7,600",India,Amit Syngle,1942.0,45.95 Billion USD,ASIAN PAINTS
447,2007.0,"25,000",Canada,,1998.0,45.93 Billion USD,LULULEMON ATHLETICA
448,,"9,500",USA,,2002.0,,SPACEX
449,,"7,802",USA,,2010.0,,STRIPE
450,1998.0,"330,600",USA,Brian Humphries,1994.0,45.92 Billion USD,COGNIZANT TECHNOLOGY SOLUTIONS
451,,"128,146",Japan,Masahiro Okafuji,1949.0,45.88 Billion USD,ITOCHU CORPORATION
452,2011.0,"151,000",Ireland,Kevin P. Clark,1994.0,45.84 Billion USD,APTIV
453,,"36,000",USA,Miguel Patricio,2015.0,45.72 Billion USD,KRAFT HEINZ COMPANY
454,2004.0,"3,030",USA,A. William Stein,2001.0,45.71 Billion USD,DIGITAL REALTY TRUST
455,2005.0,"7,000",USA,Kevin R. Sayer,1999.0,45.70 Billion USD,DEXCOM
456,,"4,303",USA,Henry A. Fernandez,1969.0,45.51 Billion USD,MSCI
457,2021.0,"50,000",South Korea,Bom Suk Kim,2010.0,45.49 Billion USD,"COUPANG, INC."
458,1993.0,"19,500",USA,Ganesh Moorthy,1989.0,45.46 Billion USD,MICROCHIP TECHNOLOGY
459,,"48,254",Switzerland,Jean-Marc Chery,1987.0,45.43 Billion USD,STMICROELECTRONICS
460,2020.0,"8,600",USA,Tony Xu,2013.0,45.38 Billion USD,DOORDASH
461,,"16,688",USA,Nick Akins,1906.0,45.07 Billion USD,AMERICAN ELECTRIC POWER COMPANY
462,,"10,164",Australia,Elizabeth Gaines,2003.0,45.03 Billion USD,FORTESCUE METALS GROUP
463,2006.0,"97,660",USA,Brian Niccol,1993.0,44.96 Billion USD,CHIPOTLE MEXICAN GRILL
464,,"8,619",USA,,,,TRAFIGURA
465,,"37,000",Ireland,,1871.0,44.96 Billion USD,TRANE TECHNOLOGIES PLC
466,,"18,000",USA,,2002.0,,LINKEDIN
467,,"58,000",USA,David Gitlin,1915.0,44.92 Billion USD,CARRIER GLOBAL
468,,"3,200",USA,Olivier Pomel,2010.0,44.87 Billion USD,DATADOG
469,,"72,500",USA,Michael F. Neidorff,1984.0,44.55 Billion USD,CENTENE CORPORATION
470,,"403,000",Bermuda,Benjamin William Keswick,1832.0,44.51 Billion USD,JARDINE MATHESON HOLDINGS
471,,"158,000",USA,Michael S. Dell,1984.0,44.30 Billion USD,DELL TECHNOLOGIES
472,,"12,561",South Korea,Hak Cheol Shin,1947.0,44.15 Billion USD,LG CHEM
473,,"4,537",USA,Jeffrey W. Martin,1998.0,44.14 Billion USD,SEMPRA ENERGY
474,,"61,531",Indonesia,,1895.0,44.01 Billion USD,PT BANK RAKYAT INDONESIA (PERSERO) TBK
475,1986.0,"7,529",USA,William J Stromberg,1937.0,43.91 Billion USD,T. ROWE PRICE GROUP
476,1999.0,"17,000",USA,Michael R. McMullen,1999.0,43.84 Billion USD,AGILENT TECHNOLOGIES
477,,"60,000",USA,Jose E. Almeida,1931.0,43.79 Billion USD,BAXTER INTERNATIONAL
478,,"35,700",USA,Fitterling,2019.0,43.71 Billion USD,DOW Inc
479,,"17,700",USA,Michael J. Hennigan,2009.0,43.66 Billion USD,MARATHON PETROLEUM CORPORATION
480,,"5,544",China,,2014.0,43.63 Billion USD,WUXI BIOLOGICS (CAYMAN)
481,,"25,000",USA,Jeffrey S. Sloan,1967.0,43.58 Billion USD,GLOBAL PAYMENTS
482,,"26,852",China,,2005.0,43.54 Billion USD,COSCO SHIPPING HOLDINGS
483,,"40,916",USA,Charles F. Lowrey,1875.0,43.39 Billion USD,PRUDENTIAL FINANCIAL
484,,"464,000",Hong Kong,David Hsu,1832.0,37.91 Billion USD,JARDINE STRATEGIC HOLDINGS
485,,"3,394",USA,George Kurtz,2011.0,43.34 Billion USD,CROWDSTRIKE HOLDINGS
486,,"99,299",China,,1984.0,43.25 Billion USD,HAIER SMART HOME
487,,"21,456",Japan,Katsunori Maruyama,1959.0,43.22 Billion USD,SMC CORPORATION
488,,"39,642",Germany,Joachim Wenning,1880.0,43.18 Billion USD,MUNCHENER RUCKVERSICHERUNGS-GESELLSCHAFT
489,2021.0,,Brazil,David Velez Osorno,2013.0,43.14 Billion USD,NU HOLDINGS LTD.
490,2001.0,"22,540",USA,Joseph M. Hogan,1997.0,43.13 Billion USD,ALIGN TECHNOLOGY
491,,"47,000",USA,Chris Kubasik,2019.0,43.12 Billion USD,L3HARRIS TECHNOLOGIES
492,2017.0,"28,000",USA,Edward D. Breen,1897.0,43.10 Billion USD,DUPONT DE NEMOURS
493,,"47,000",Japan,Christophe Weber,1781.0,43.09 Billion USD,TAKEDA PHARMACEUTICAL COMPANY
494,,"6,567",USA,Gregory W. Becker,1983.0,43.03 Billion USD,SVB FINANCIAL GROUP
495,,"105,000",UK,Nick Read,1982.0,43.01 Billion USD,VODAFONE GROUP
496,2018.0,"6,617",Sweden,Daniel Ek,2006.0,42.83 Billion USD,SPOTIFY TECHNOLOGY
497,,"17,800",Ireland,Brian Cassin,1996.0,42.82 Billion USD,EXPERIAN
498,,"18,700",USA,Greg Brown,2011.0,42.66 Billion USD,MOTOROLA SOLUTIONS
499,1998.0,"35,000",USA,Jon Vander Ark,1998.0,42.42 Billion USD,REPUBLIC SERVICES
500,2016.0,"142,000",USA,Christopher J. Nassetta,1919.0,42.37 Billion USD,HILTON WORLDWIDE HOLDINGS
501,,"131,000",Canada,Brian P. Hannasch,1980.0,42.17 Billion USD,ALIMENTATION COUCHE-TARD
502,,"4,076",South Korea,Choi Soo-yeon,1999.0,42.08 Billion USD,NAVER CORPORATION
503,,"12,874",Japan,Kentaro Kawabe,1996.0,41.97 Billion USD,Z HOLDINGS CORPORATION
504,,"10,622",Germany,Rolf Eberhard Buch,2001.0,41.88 Billion USD,VONOVIA SE
505,,"51,000",USA,Enrique Lores,1939.0,41.85 Billion USD,HP INC
506,2014.0,"191,752",UK,,2014.0,36.50 Billion USD,FIAT CHRYSLER AUTOMOBILES
507,,"54,640",USA,Thomas L. Williams,1918.0,41.61 Billion USD,PARKER-HANNIFIN CORPORATION
508,,"110,432",Spain,Onur Genc,1999.0,41.59 Billion USD,BANCO BILBAO VIZCAYA ARGENTARIA
509,,"100,000",USA,William C. Rhodes III,1979.0,41.57 Billion USD,AUTOZONE
510,1998.0,"10,800",USA,Jamie Iannone,1995.0,41.52 Billion USD,EBAY
511,2011.0,"2,153",USA,Marc Rowan,1990.0,41.38 Billion USD,APOLLO GLOBAL MANAGEMENT
512,,"35,000",USA,Jeff Harmening,1928.0,41.36 Billion USD,GENERAL MILLS
513,,"58,000",USA,Kevin Hourican,1969.0,41.25 Billion USD,SYSCO CORPORATION
514,1983.0,"40,000",USA,Todd M. Schneider,1968.0,41.23 Billion USD,CINTAS CORPORATION
515,,"8,256",Japan,Yoshiharu Inaba,1958.0,41.13 Billion USD,FANUC CORPORATION
516,,"12,447",USA,Dan Amos,1955.0,41.12 Billion USD,AFLAC
517,,"478,070",UK,Dominic Blakemore,1941.0,41.11 Billion USD,COMPASS GROUP
518,,"1,567",India,Ignatius Navil Noronha,2000.0,41.07 Billion USD,AVENUE SUPERMARTS
519,2016.0,"7,867",USA,Jeff Lawson,2008.0,41.05 Billion USD,TWILIO
520,,"79,200",Ireland,Albert Manifold,1970.0,41.04 Billion USD,CRH PLC
521,,"71,504",South Korea,Chang Jae-hoon,1967.0,41.03 Billion USD,HYUNDAI MOTOR COMPANY
522,,"41,101",Japan,Satoru Komiya,1879.0,40.96 Billion USD,TOKIO MARINE HOLDINGS
523,,"30,800",USA,Alan D. Schnitzer,1853.0,40.90 Billion USD,THE TRAVELERS COMPANIES
524,,"101,911",Switzerland,Veronique Penchienati Bosetta,1919.0,40.80 Billion USD,DANONE
525,,"16,033",Japan,Sunao Manabe,2005.0,40.77 Billion USD,DAIICHI SANKYO COMPANY
526,2013.0,"50,479",Brazil,Jean Jereissati,1999.0,40.76 Billion USD,AMBEV
527,,"17,337",China,,1997.0,40.67 Billion USD,BANK OF NINGBO
528,,"3,238",USA,Henry R. Kravis,1976.0,40.66 Billion USD,KKR & CO
529,,"20,532",Sweden,Ola Rollen,1992.0,40.65 Billion USD,HEXAGON AB (PUBL)
530,,"1,519",Switzerland,David Layton,1996.0,40.54 Billion USD,PARTNERS GROUP HOLDING AG
531,,371,USA,Sumit Roy,1969.0,40.40 Billion USD,REALTY INCOME CORPORATION
532,,"18,990",USA,Michele Buck,1894.0,40.35 Billion USD,THE HERSHEY COMPANY
533,,"59,052",China,,1993.0,40.25 Billion USD,INNER MONGOLIA YILI INDUSTRIAL GROUP
534,2020.0,"3,676",China,,2014.0,40.18 Billion USD,XPENG MOTORS
535,,"58,200",China,Ji Xiaohui,1993.0,40.06 Billion USD,SHANGHAI PUDONG DEVELOPMENT BANK
536,,"27,500",USA,Michael H. McGarry,1882.0,39.82 Billion USD,PPG INDUSTRIES
537,2014.0,"2,993",USA,Jayshree Ullal,2004.0,39.79 Billion USD,ARISTA NETWORKS
538,,"23,655",Switzerland,David J. Endicott,1945.0,39.77 Billion USD,ALCON
539,,"36,000",USA,David Gibbs,1997.0,39.68 Billion USD,YUM! BRANDS
540,2018.0,"23,100",Canada,,2018.0,39.46 Billion USD,NUTRIEN
541,,"140,565",China,Yu Liang,1984.0,39.43 Billion USD,CHINA VANKE
542,,"30,538",Singapore,Helen Wong,1932.0,39.37 Billion USD,OVERSEA-CHINESE BANKING CORPORATION
543,,"37,000",Canada,Roy Gori,1887.0,39.26 Billion USD,MANULIFE FINANCIAL CORPORATION
544,2011.0,"10,529",USA,Steven J. Kean,1997.0,39.16 Billion USD,KINDER MORGAN
545,,"4,825",Finland,Peter Vanacker,2005.0,39.11 Billion USD,NESTE OYJ
546,,"138,808",Japan,Ryuichi Isaka,2005.0,39.10 Billion USD,SEVEN & I HOLDINGS
547,,"44,509",Japan,Tatsuo Yasunaga,1947.0,39.07 Billion USD,MITSUI & CO.
548,,"41,000",USA,Juan Ricardo Luciano,1902.0,39.06 Billion USD,ARCHER-DANIELS-MIDLAND COMPANY
549,1996.0,"3,837",USA,Ludwig N. Hantson,1992.0,39.00 Billion USD,ALEXION PHARMACEUTICALS
550,,"96,500",Brazil,Milton Maluhy Filho,2008.0,38.92 Billion USD,ITAU UNIBANCO HOLDING
551,,"15,026",China,,2002.0,38.89 Billion USD,JIANGSU YANGHE BREWERY JOINT-STOCK
552,,"289,501",France,Aiman Ezzat,1967.0,38.88 Billion USD,CAPGEMINI SE
553,,"12,591",Canada,Mark S. Little,1917.0,38.70 Billion USD,SUNCOR ENERGY
554,,"9,016",Germany,Joachim Kreuzburg,1870.0,38.53 Billion USD,SARTORIUS STEDIM BIOTECH
555,,"111,247",China,Kong Qingwei,1991.0,38.51 Billion USD,CHINA PACIFIC INSURANCE GROUP (CPIC)
556,,"167,552",France,Benoit Bazin,1665.0,38.48 Billion USD,COMPAGNIE DE SAINT-GOBAIN
557,,"78,249",Switzerland,Dr. Detlef Trefzger,1890.0,38.47 Billion USD,KUEHNE + NAGEL INTERNATIONAL AG
558,,"34,352",UK,Kevin Murphy,1953.0,38.47 Billion USD,FERGUSON
559,1991.0,"23,663",USA,Greg C. Gantt,1934.0,38.25 Billion USD,OLD DOMINION FREIGHT LINE
560,,464,USA,Shankh Mitra,1970.0,38.23 Billion USD,WELLTOWER
