,rank,name,in 2021 ranking,in 2020 ranking,country,sector,absolute growth rate %,compound annual growth rate (cagr) %,revenue 2020 (€),revenue 2017 (€),number of employees 2020,number of employees 2017,founding year
605,606,Horando Deutschland,No,Yes,Germany,Retail,259.32,53.17,"8,111,269","2,257,390",3.0,2,2013
606,607,"Diablochairs, Jan Nowak",Yes,Yes,Poland,Ecommerce,259.15,53.14,"21,520,495","6,549,376",79.0,22,2004
607,608,Parkster,Yes,Yes,Sweden,Technology,258.92,53.11,"55,139,984","15,711,602",28.0,16,2011
608,609,BIOTYFULL,Yes,No,France,Ecommerce,258.88,53.1,"20,248,436","5,642,145",13.0,5,2015
609,610,Bioksan,Yes,No,Spain,Food & Beverage,258.30,53.02,"5,914,732","1,650,756",51.0,14,2014
610,611,Trippel,No,No,Norway,Support Services,258.05,52.98,"3,057,807","910,070",118.0,37,1999
611,612,Yourparkingspace Limited,Yes,Yes,UK,Technology,257.60,52.92,"13,863,431","3,904,618",32.0,15,2013
612,613,Carslift,No,No,France,Automobiles,257.42,52.89,"2,226,659","622,989",35.0,1,2012
613,614,Zimmerei Nordmann,No,No,Germany,Construction,257.35,52.89,"2,074,577","580,537",11.0,5,2009
614,615,SI Silicone Innovation,Yes,No,Germany,Industrial Goods,257.32,52.88,"3,640,511","1,018,843",40.0,20,2015
615,616,A.U.E. Genc Warenhandels-UG,Yes,Yes,Germany,Retail,256.90,52.82,"19,890,000","5,573,000",12.0,8,2010
616,617,MGvision,No,No,Italy,Advertising,255.81,52.66,"4,010,560","1,127,170",18.0,10,2010
617,618,New General Service,Yes,No,Italy,Support Services,255.07,52.56,"1,539,360","433,540",26.0,13,2015
618,619,ANDRE RENOVATION,No,No,France,Construction,254.93,52.54,"11,594,389","3,266,703",41.0,15,2010
619,620,M.D.G. Components Unipersonale,No,No,Italy,Industrial Goods,254.41,52.46,"2,283,970","644,440",14.0,10,2017
620,621,Amco-Bulgaria,Yes,No,Bulgaria,Retail,254.20,52.43,"6,298,606","1,778,274",22.0,5,2011
621,622,Symprove,Yes,No,UK,Personal & Household Goods,254.09,52.42,"12,298,843","3,498,275",39.0,16,2005
622,623,Tecknuovo,No,No,UK,Technology,253.87,52.39,"26,273,556","7,477,852",22.0,10,2015
623,624,Platform.sh,No,No,France,Technology,253.68,52.36,"22,077,678","6,242,232",217.0,62,2010
624,625,ISG Express Logistik,Yes,No,Germany,Transport,253.68,52.36,"5,822,692","1,646,307",46.0,5,2011
625,626,Manelli Impresa,Yes,No,Italy,Construction,253.65,52.36,"43,355,980","12,259,540",173.0,55,2008
626,627,SA Formação,Yes,Yes,Portugal,Education,253.55,52.34,"3,647,652","1,031,733",53.0,22,2009
627,628,SM SektManufaktur,No,No,Germany,Industrial Goods,253.35,52.31,"2,408,586","681,652",14.0,3,2015
628,629,Beauty Consult Deutschland,No,No,Germany,Health,253.11,52.28,"3,725,665","1,055,100",31.0,8,2011
629,630,Finauto,No,No,Italy,Automobiles,251.91,52.1,"11,789,870","3,350,270",8.0,5,1977
630,631,AuCOFFRE.com,No,No,France,Financial Services,251.66,52.07,"114,037,838","32,428,296",21.0,18,2009
631,632,Divido,Yes,No,UK,Fintech,251.57,52.06,"3,786,036","1,084,616",46.0,37,2014
632,633,R&K Ingenieure,No,No,Germany,Construction,251.56,52.05,"5,210,500","1,482,100",17.0,6,2016
633,634,Nephos Technologies,Yes,No,UK,Technology,251.48,52.04,"17,559,447","5,031,697",25.0,11,2011
634,635,La Vida,Yes,Yes,UK,Support Services,250.06,51.84,"7,572,128","2,178,629",15.0,8,2002
635,636,Midstream Lighting,No,Yes,UK,Technology,249.64,51.78,"8,204,844","2,363,526",12.0,4,2012
636,637,PROPULSE IT,Yes,Yes,France,Technology,249.58,51.77,"6,326,861","1,809,858",2.0,2,2014
637,638,Additius Santa Maria,No,No,Spain,Agricultural Commodities,248.98,51.68,"31,757,362","9,100,083",30.0,25,2012
638,639,CONEXIO TELECOM,No,No,France,Telecoms,248.88,51.67,"1,908,640","547,084",15.0,3,2017
639,640,Tripin,No,No,Germany,Retail,248.43,51.6,"5,465,080","1,568,506",9.0,5,2012
640,641,Continental Wood Kft.,No,Yes,Hungary,Industrial Goods,247.28,51.43,"2,724,073","910,973",9.0,4,1996
641,642,GeoTeam,No,No,Italy,Energy,247.20,51.42,"7,623,730","2,195,780",120.0,71,2008
642,643,Leascorp,No,No,France,Financial Services,247.05,51.4,"18,481,247","5,325,214",7.0,4,2014
643,644,Positive Healthcare,No,No,UK,Management Consulting,246.88,51.38,"6,731,831","1,954,609",19.0,3,2014
644,645,Ralph Schmolke,No,No,Germany,Retail,246.63,51.34,"2,281,929","658,317",8.0,4,2010
645,646,Roomie Milano,No,No,Italy,Property,245.48,51.17,"3,728,920","1,079,340",10.0,2,2016
646,647,Trencadis Corp,Yes,No,Romania,Technology,245.45,51.17,"20,410,511","6,137,755",89.0,40,2007
647,648,WORTEKS,No,No,France,Technology,245.44,51.17,"1,870,845","541,582",11.0,4,2016
648,649,REMOVE,Yes,No,France,Construction,244.64,51.05,"8,988,475","2,608,093",74.0,27,2015
649,650,Citadelo,No,No,Czech Republic,Cyber Security,243.94,50.95,"1,556,521","452,557",27.0,15,2006
650,651,Grill Autoservice,No,No,Germany,Automobiles,243.36,50.86,"18,141,216","5,283,415",26.0,13,2017
651,652,Inbrooll,No,No,Spain,Industrial Goods,243.07,50.82,"2,663,110","776,268",15.0,8,2013
652,653,Cross,Yes,No,Germany,Retail,242.59,50.75,"88,590,000","25,858,983",4.0,3,2010
653,654,B1gas S.p.A,Yes,No,Italy,Energy,242.58,50.75,"41,474,660","12,106,480",6.0,2,2010
654,655,Filva,No,No,Italy,Construction,242.17,50.69,"6,188,900","1,808,710",10.0,8,2009
655,656,Archingest,Yes,No,Italy,Construction,241.26,50.56,"3,515,000","1,030,000",6.0,2,2005
656,657,Alpha FX Group,No,Yes,UK,Financial Services,241.26,50.55,"51,640,733","15,241,075",124.0,51,2009
657,658,lemonads,Yes,No,Switzerland,Advertising,241.12,50.53,"4,952,255","1,451,770",50.0,7,2012
658,659,Signicat,Yes,No,Norway,Technology,240.39,50.43,"42,514,150","13,309,441",213.0,71,2007
659,660,Alfred Döpker,No,No,Germany,Construction,240.33,50.42,"77,358,225","22,730,529",55.0,41,1965
660,661,Bavaria-Ei,No,No,Germany,Retail,240.06,50.38,"13,067,279","3,842,670",88.0,42,2001
661,662,Oxylabs.io,No,No,Lithuania,Technology,239.23,50.26,"25,040,954","7,381,686",245.0,57,2015
662,663,A.S.H. Automobile,Yes,No,Germany,Automobiles,239.19,50.25,"2,333,452","687,958",5.0,2,2014
663,664,Vascular,No,No,Hungary,Health,238.38,50.13,"29,099,679","9,987,236",57.0,18,2007
664,665,ANDJARO,No,No,France,Support Services,237.95,50.07,"3,189,298","943,718",57.0,30,2015
665,666,Röhrtaler Wertstoff,No,No,Germany,Waste management & recycling,237.58,50.01,"3,286,187","973,460",34.0,22,2013
666,667,Autel Karnetic,No,No,UK,Technology,237.43,49.99,"8,520,830","2,543,343",7.0,6,2016
667,668,Discoup.com,No,No,Italy,Advertising,236.58,49.86,"2,075,110","616,520",10.0,8,2013
668,669,Hellas Direct,Yes,No,Cyprus,Insurance,236.55,49.86,"34,488,971","10,247,832",85.0,52,2011
669,670,HERRLES,Yes,No,Germany,Automobiles,236.46,49.85,"10,242,075","3,044,054",45.0,30,2009
670,671,Investmentpunk Academy,No,No,Austria,Education,235.69,49.73,"3,179,000","947,000",12.0,6,2016
671,672,Born Stahlbau,No,Yes,Germany,Industrial Goods,235.05,49.64,"4,527,093","1,351,164",13.0,6,2015
672,673,RETTEL Projektbau,Yes,No,Germany,Construction,234.97,49.62,"8,073,458","2,410,212",7.0,5,2016
673,674,Suntronic,No,No,Italy,Energy,234.87,49.61,"2,347,320","700,960",4.0,2,2005
674,675,TMT,Yes,Yes,Italy,Industrial Goods,234.84,49.6,"12,763,524","3,811,838",42.0,6,2014
675,676,Gedankenburg,No,No,Germany,Advertising,234.74,49.59,"2,950,010","881,275",5.0,2,2015
676,677,SVOP Special Vehicle Operation,No,No,Sweden,Automobiles,234.07,49.49,"4,526,309","1,385,662",16.0,6,2013
677,678,Glenholme Healthcare Group,No,No,UK,Health,234.00,49.48,"14,845,073","4,476,517",415.0,132,2011
678,679,AUDENSIEL,Yes,Yes,France,Technology,233.96,49.47,"57,451,279","17,203,160",720.0,230,2013
679,680,Ivnosys,No,No,Spain,Technology,233.95,49.47,"8,743,069","2,618,069",106.0,34,2011
680,681,Mulconsa,No,No,Spain,Construction,233.87,49.46,"6,687,402","2,002,982",45.0,30,2012
681,682,50NRTH,No,No,Germany,Retail,233.75,49.44,"35,107,348","10,518,963",54.0,14,2004
682,683,Delecto,No,No,Croatia,Retail,233.68,49.43,"2,649,288","793,957",10.0,6,2008
683,684,Mardruk Opakowania,No,No,Poland,Industrial Goods,233.32,49.38,"3,226,645","1,058,063",47.0,7,2015
684,685,MANANG,No,No,France,Construction,233.23,49.36,"6,205,559","1,862,272",40.0,15,2012
685,686,bestbion dx,No,No,Germany,Health,233.18,49.36,"14,863,628","4,461,170",27.0,21,2011
686,687,Avamore Capital,No,No,UK,Financial Services,232.57,49.27,"2,552,248","772,943",21.0,7,2015
687,688,Solaris and more,No,No,Germany,Energy,231.75,49.14,"4,692,660","1,414,501",30.0,13,2011
688,689,Clearcycle,No,No,UK,Retail,231.73,49.14,"2,176,368","660,767",11.0,8,2015
689,690,Opteamis,Yes,Yes,France,Support Services,231.45,49.1,"13,856,500","4,180,523",35.0,12,2005
690,691,Codenor,No,No,Spain,Construction,231.36,49.08,"6,385,196","1,926,967",20.0,10,2010
691,692,HAPPYBULLE,Yes,No,France,Ecommerce,231.14,49.05,"4,209,975","1,271,353",18.0,8,2015
692,693,Aurora Energy Research,No,No,UK,Energy,231.05,49.04,"15,079,425","4,587,687",158.0,46,2013
