,rank,name,in 2021 ranking,in 2020 ranking,country,sector,absolute growth rate %,compound annual growth rate (cagr) %,revenue 2020 (€),revenue 2017 (€),number of employees 2020,number of employees 2017,founding year
784,785,MON CHASSEUR IMMO,Yes,No,France,Property,202.35,44.6,"4,794,423","1,585,727",28.0,13,2012
785,786,UpSlide,No,Yes,France,Support Services,202.23,44.58,"8,274,214","2,737,704",75.0,20,2013
786,787,COGECLIM ENERGIES,Yes,No,France,Construction,201.99,44.54,"2,622,506","868,406",18.0,5,2015
787,788,Cellarius,No,No,Hungary,Sales & Marketing,201.67,44.49,"2,571,079","989,785",14.0,10,2004
788,789,careful-service,No,No,Germany,Health,201.37,44.44,"3,537,769","1,173,908",141.0,75,2014
789,790,Softneta,No,No,Lithuania,Health,201.07,44.4,"1,778,249","590,642",30.0,24,2007
790,791,Progeny,No,No,UK,Financial Services,200.64,44.33,"16,601,337","5,561,585",161.0,64,2016
791,792,Web Geo Services,No,No,France,Technology,200.58,44.32,"24,114,000","8,022,358",57.0,29,2009
792,793,Spedition Ibov,No,No,Germany,Transport,200.43,44.29,"3,424,863","1,140,000",,,2013
793,794,MyPostcard.com,Yes,Yes,Germany,Retail,200.06,44.23,"6,358,307","2,119,022",25.0,21,2014
794,795,VARIOSAN,No,No,Germany,Retail,199.77,44.19,"3,233,968","1,078,808",3.0,2,2013
795,796,Riedle + Bertsch,No,No,Germany,Technology,199.75,44.18,"2,331,579","777,849",36.0,8,2013
796,797,Mobili Fiver,No,No,Italy,Interiors,199.43,44.13,"11,897,820","3,973,460",50.0,23,1999
797,798,KLC DESAMIANTAGE,No,No,France,Construction,199.36,44.12,"6,182,419","2,065,220",46.0,11,2015
798,799,SECRET ARTS OF SPIRITS,Yes,Yes,France,Retail,199.23,44.1,"3,308,224","1,105,569",6.0,3,2014
799,800,MPB Group Limited,Yes,No,UK,Ecommerce,198.91,44.05,"72,503,245","24,429,686",184.0,68,2011
800,801,3zehn Auto Discount,Yes,No,Germany,Automobiles,198.41,43.97,"25,448,057","8,527,777",12.0,5,2016
801,802,ADIKTEEV,No,No,France,Technology,198.30,43.95,"45,616,000","15,292,051",67.0,50,2012
802,803,Fundis Reitsport,No,No,Germany,Retail,198.07,43.92,"7,066,208","2,370,645",50.0,3,2009
803,804,Antriebstechnik Ebner-Seibold,No,No,Germany,Retail,198.06,43.91,"2,245,423","753,352",17.0,9,2009
804,805,Invibes Advertising,No,Yes,Belgium,Technology,197.11,43.76,"11,530,000","3,880,663",102.0,30,2011
805,806,Jointly il welfare condiviso,No,No,Italy,Support Services,196.84,43.72,"2,400,550","808,700",34.0,18,2014
806,807,ABTOT Mark & Anläggning AB,Yes,No,Sweden,Construction,195.91,43.57,"9,983,094","3,450,305",23.0,10,2012
807,808,DUSAPRO Immobilien,Yes,Yes,Germany,Property,195.21,43.45,"33,903,865","11,484,801",36.0,10,2012
808,809,SOLDATS FILMS,No,No,France,Media,194.81,43.39,"2,320,653","787,160",8.0,4,2012
809,810,Eagleprojects,No,No,Italy,Telecoms,194.68,43.37,"15,140,480","5,137,900",287.0,120,2016
810,811,Agile Lab,Yes,No,Italy,Technology,194.60,43.35,"5,590,450","1,897,650",43.0,15,2013
811,812,importpris.no,No,No,Norway,Ecommerce,194.37,43.32,"3,113,197","1,126,971",8.0,4,2012
812,813,truu,Yes,Yes,Germany,Industrial Goods,193.76,43.22,"12,472,561","4,245,861",72.0,18,2011
813,814,L’Atelier,No,No,France,Technology,193.45,43.17,"4,288,024","1,461,226",15.0,5,2016
814,815,frigoclim Kälte-Klima,Yes,No,Germany,Construction,193.40,43.16,"3,890,690","1,326,082",22.0,7,2014
815,816,M Coffee Company,No,No,Germany,Retail,192.95,43.09,"2,117,442","722,795",5.0,3,2013
816,817,PROTEXTYL,No,No,France,Retail,192.85,43.07,"5,324,116","1,818,032",22.0,12,2011
817,818,SP architecte,No,No,France,Construction,192.84,43.07,"2,825,876","964,998",18.0,14,2009
818,819,Embargos a lo bestia,No,No,Spain,Retail,192.62,43.03,"22,559,217","7,709,375",178.0,54,2011
819,820,Snigel,Yes,No,Ireland,Technology,192.57,43.02,"20,479,764","7,000,063",3.0,2,2011
820,821,IMS Rettungsdienst,No,No,Germany,Health,192.31,42.98,"1,900,000","650,000",120.0,5,2006
821,822,Way2Global SB,No,No,Italy,Support Services,190.97,42.76,"2,411,600","828,820",16.0,1,2017
822,823,Media Access Solutions,No,No,UK,Support Services,190.48,42.68,"3,407,930","1,181,642",33.0,3,2014
823,824,Exadi,No,No,Spain,Sales and Marketing,190.28,42.65,"42,525,086","14,649,568",44.0,21,2008
824,825,Fiber-Service-Gesellschaft,No,No,Germany,Telecoms,190.17,42.63,"4,049,655","1,395,607",29.0,10,2014
825,826,TenderHut (Group),Yes,Yes,Poland,Technology,190.02,42.61,"10,264,611","3,868,483",280.0,140,2010
826,827,Worldwide Fishing Company,Yes,No,Spain,Food & Beverage,189.88,42.58,"140,442,673","48,449,141",30.0,12,2016
827,828,Doctor Hail spa,Yes,No,Italy,Automobiles,189.78,42.57,"18,101,114","6,246,592",43.0,26,2013
828,829,KBS Group,Yes,Yes,Germany,Support Services,189.70,42.55,"42,006,000","14,500,000",1500.0,650,2011
829,830,Terre Ehitus,No,No,Estonia,Construction,188.94,42.43,"2,089,215","723,064",12.0,5,2017
830,831,Bauer Energiekonzepte,Yes,Yes,Germany,Energy,188.54,42.36,"36,223,730","12,554,325",19.0,7,2013
831,832,New Euroart,No,No,Italy,Construction,188.49,42.36,"9,307,640","3,226,280",77.0,26,2001
832,833,Capelli For You,No,No,Italy,Beauty,188.42,42.34,"1,658,750","575,120",16.0,8,2015
833,834,Ogury,Yes,Yes,UK,Advertising,188.32,42.33,"108,758,853","37,992,902",371.0,133,2014
834,835,TFT Ernst,No,No,Germany,Construction,188.19,42.31,"2,012,427","698,300",17.0,7,2017
835,836,Somerford Associates,No,No,UK,Technology,187.81,42.24,"18,757,685","6,564,162",55.0,31,2001
836,837,ARCADIA Investment,Yes,Yes,Germany,Property,187.45,42.19,"8,102,218","2,818,652",38.0,12,2012
837,838,FiloBlu,Yes,Yes,Italy,Management Consulting,187.14,42.13,"55,564,420","19,351,090",186.0,112,2009
838,839,Tribus Digital,No,No,UK,Technology,186.89,42.09,"1,952,800","685,567",21.0,8,2016
839,840,DoIT,Yes,No,Italy,Technology,186.79,42.08,"3,040,000","1,060,000",35.0,20,2014
840,841,Global Perspectives,Yes,No,UK,Health,186.71,42.06,"6,631,496","2,329,522",23.0,8,2009
841,842,Pirene,No,No,Italy,Support Services,186.54,42.04,"1,512,680","527,910",25.0,8,1999
842,843,iPulse,Yes,No,UK,Personal & Household Goods,186.27,41.99,"105,149,602","36,995,102",183.0,39,2012
843,844,blue networks,No,No,Germany,Technology,185.36,41.84,"6,626,713","2,322,241",47.0,23,2002
844,845,N. Schwegler,No,Yes,Germany,Construction,185.24,41.82,"10,514,000","3,686,000",35.0,20,2009
845,846,Marcus Lutz Bau,No,No,Germany,Construction,184.26,41.66,"1,874,438","659,402",15.0,7,2002
846,847,HKR-Technik,No,No,Germany,Retail,184.14,41.64,"6,996,880","2,462,478",4.0,3,2008
847,848,Licht + Strom,Yes,No,Germany,Technology,183.54,41.54,"4,039,340","1,424,633",30.0,18,2007
848,849,Die Autowelt,Yes,No,Germany,Automobiles,183.23,41.49,"16,754,654","5,915,499",40.0,15,2009
849,850,ARTHEAU AVIATION,No,No,France,Aerospace & Defence,183.17,41.48,"11,263,318","3,977,562",9.0,4,2012
850,851,Cepo,No,No,Italy,Industrial Goods,182.86,41.42,"4,503,670","1,592,170",22.0,13,2000
851,852,Sneakers & Jackets,Yes,Yes,France,Financial Services,182.41,41.35,"2,888,273","1,022,714",2.0,1,2013
852,853,89up,No,No,UK,Advertising,182.41,41.35,"1,814,237","647,020",26.0,11,2009
853,854,LUXURY & PERFORMANCE SELECTION,No,No,France,Automobiles,182.39,41.35,"6,444,045","2,281,929",4.0,na,2016
854,855,Grayce Group,No,No,UK,Management Consulting,182.36,41.34,"17,890,928","6,381,674",395.0,117,2012
855,856,Nemesi Italia,No,No,Italy,Technology,182.02,41.28,"1,640,000","581,520",4.0,1,1993
856,857,Halo Service Solutions,No,No,UK,Technology,181.97,41.28,"5,037,087","1,799,189",40.0,12,1994
857,858,Raspberry Pi,No,No,UK,Technology,181.29,41.16,"80,066,074","28,668,484",73.0,36,2012
858,859,Giopato & Coombes,Yes,No,Italy,Interiors,181.27,41.16,"5,467,910","1,944,000",17.0,8,2010
859,860,Ship it,No,No,Germany,Retail,180.95,41.1,"3,391,041","1,207,009",8.0,4,2016
860,861,Rheinische Scheidestätte,No,No,Germany,Retail,180.89,41.1,"83,044,963","29,564,866",47.0,19,2012
861,862,Whites Agency,No,No,Poland,Advertising,180.88,41.09,"4,076,348","1,586,246",90.0,34,2011
862,863,Casa di Riposo Medicalizzata Sempione*,No,No,Italy,Health,180.66,41.06,"2,436,000","867,960",38.0,1,2017
863,864,CShark,Yes,Yes,Poland,Technology,180.55,41.04,"11,828,515","4,608,343",269.0,135,2014
864,865,Zinox Laser,Yes,No,Italy,Interiors,180.41,41.02,"6,364,000","2,269,510",47.0,30,2015
865,866,Tera Automation,No,No,Italy,Industrial Goods,180.39,41.01,"4,987,860","1,778,890",20.0,14,2013
866,867,Innova Hts,No,No,Italy,Health,180.22,40.98,"8,792,400","3,137,630",16.0,12,2014
867,868,Kentigen,No,No,Czech Republic,Technology,179.79,40.91,"1,507,867","554,004",20.0,8,2013
868,869,Teal Partners,No,No,Belgium,Technology,179.35,40.84,"3,873,750","1,386,701",23.0,13,2015
869,870,LM Medical Division,No,No,Italy,Health,179.23,40.82,"11,281,040","4,040,060",47.0,16,2010
870,871,BEC,No,No,Germany,Technology,179.21,40.81,"7,843,183","2,809,036",47.0,25,2003
871,872,Xylon,No,No,Croatia,Technology,178.97,40.77,"4,491,888","1,610,149",81.0,41,1995
872,873,Spedition Kai Rindert,No,No,Germany,Transport,178.52,40.7,"3,018,684","1,083,821",9.0,2,2017
873,874,CO.GE.SA. Costruzioni Generali Saba,No,No,Italy,Construction,178.13,40.63,"3,453,730","1,241,760",22.0,16,2009
874,875,Skärgårdstunnan/Skargards,No,No,Sweden,Ecommerce,178.05,40.62,"15,082,088","5,547,537",20.0,13,2010
875,876,Autonova Milano,No,No,Italy,Automobiles,177.33,40.5,"2,790,680","1,006,280",14.0,1,2015
876,877,Polarstern,No,No,Germany,Energy,177.06,40.45,"30,270,074","10,925,375",40.0,25,2011
877,878,halsdorfer + ingenieure projekt,No,Yes,Germany,Property,176.94,40.43,"31,038,460","11,207,566",15.0,5,2013
878,879,OPNA,Yes,No,France,Support Services,176.53,40.36,"2,317,903","838,200",23.0,9,2015
879,880,Stikets,Yes,Yes,Spain,Ecommerce,176.29,40.32,"9,318,626","3,372,820",39.0,25,2010
880,881,CampuStore,No,No,Italy,Education,175.75,40.23,"34,410,600","12,479,120",18.0,18,1994
881,882,Ars Futura,No,No,Croatia,Technology,175.70,40.22,"1,580,154","574,487",27.0,14,2013
882,883,Cemir Security,Yes,No,Italy,Support Services,175.61,40.21,"2,835,330","1,028,730",116.0,64,2015
883,884,Borgy CZ,No,No,Czech Republic,Personal & Household Goods,175.59,40.2,"22,419,033","8,362,568",60.0,40,2009
884,885,Groupe Zephyr,No,No,France,Health,175.27,40.15,"16,264,645","5,908,517",600.0,190,2007
885,886,Dernier Cri,No,No,France,Technology,175.07,40.11,"3,956,061","1,438,184",57.0,25,2015
886,887,yes!devs,No,No,Germany,Technology,175.00,40.1,"2,200,000","800,000",37.0,10,2016
887,888,Hydroflex Group,No,Yes,Germany,Retail,174.98,40.1,"13,166,000","4,788,000",36.0,19,2009
888,889,Proteko Service,No,No,Italy,Support Services,174.64,40.04,"5,502,450","2,003,540",31.0,7,2016
889,890,MiniCRM,No,No,Hungary,Technology,174.60,40.03,"2,232,347","944,107",26.0,26,2012
890,891,CNQ Consorzio Nazionale Qualità,No,No,Italy,Waste management & recycling,174.56,40.03,"2,151,050","783,460",39.0,13,2001
891,892,Accolade,No,Yes,Czech Republic,Property,174.26,39.98,"83,981,636","31,477,723",,,2010
892,893,Panel Sandwich,No,No,Spain,Construction,174.00,39.93,"9,637,845","3,517,519",27.0,9,2009
893,894,SYMBIOSE Informatique,No,No,France,Technology,173.97,39.93,"33,080,096","12,074,454",32.0,28,1991
894,895,G.Engineering,Yes,No,Italy,Industrial Goods,173.95,39.92,"16,504,780","6,024,830",51.0,24,2012
895,896,I-PARTICULIERS,No,No,France,Property,173.47,39.84,"4,071,600","1,488,875",200.0,50,2011
896,897,Henco,No,No,Germany,Retail,173.33,39.82,"6,970,679","2,550,263",48.0,25,2012
897,898,Giglio.com,No,Yes,Italy,Ecommerce,173.12,39.78,"25,355,630","9,283,620",53.0,25,2007
898,899,Alphaspel,No,No,Sweden,Retail,172.99,39.76,"4,535,769","1,699,234",16.0,5,2013
899,900,Sapiegos Klinika,No,No,Lithuania,Health,172.45,39.67,"1,578,677","579,436",24.0,14,2014
900,901,OpenCorporates,No,No,UK,Technology,172.17,39.62,"2,730,677","1,010,498",25.0,9,2010
901,902,BE CLOUD,No,Yes,France,Support Services,172.09,39.61,"10,371,094","3,811,605",49.0,22,2012
902,903,Drukarnia piga.pl,Yes,Yes,Poland,Ecommerce,172.02,39.59,"4,064,038","1,632,988",130.0,60,2014
903,904,groupe mister menuiserie,No,No,France,Ecommerce,172.00,39.59,"68,009,314","25,003,047",227.0,84,2010
904,905,Insetto,No,No,Germany,Retail,171.87,39.57,"6,010,130","2,210,651",79.0,51,1999
905,906,Technophage,No,No,Portugal,Pharmaceuticals,171.71,39.54,"2,237,180","823,381",13.0,9,2005
906,907,skalis portage salarial,No,Yes,France,Support Services,171.14,39.44,"6,202,068","2,287,420",68.0,25,2008
907,908,peoplegrapher,Yes,No,Germany,Advertising,170.86,39.4,"3,561,298","1,314,806",11.0,5,2016
908,909,Reveg Fruit,Yes,No,Italy,Food & Beverage,170.85,39.39,"2,356,570","870,070",4.0,2,2016
909,910,Sciant,Yes,No,Bulgaria,Technology,170.83,39.39,"3,192,139","1,178,653",79.0,39,2016
910,911,Boender & Beutel,No,No,Germany,Industrial Goods,170.63,39.36,"14,550,131","5,376,347",130.0,50,2012
911,912,EKINOPS,No,No,France,Telecoms,170.62,39.36,"92,800,000","34,291,000",456.0,419,2003
912,913,Sano-Técnica,No,No,Portugal,Health,170.53,39.34,"4,972,658","1,838,120",13.0,12,1938
913,914,möbelando,No,Yes,Germany,Retail,170.52,39.34,"16,692,390","6,170,577",24.0,16,2013
914,915,Democom,Yes,Yes,Italy,Telecoms,170.39,39.31,"3,347,950","1,238,210",37.0,12,2011
915,916,Erbagil,No,No,Italy,Pharmaceuticals,169.82,39.22,"4,021,010","1,490,280",11.0,3,2009
916,917,Axopar Boats,Yes,Yes,Finland,Travel & Leisure,169.30,39.13,"78,765,693","29,247,774",32.0,9,2014
917,918,Advanced Composites Solutions,No,No,Italy,Automobiles,168.86,39.05,"5,393,690","2,006,100",54.0,11,2012
918,919,Spartivento Yachts & Charter,No,No,Italy,Travel & Leisure,168.79,39.04,"5,194,630","1,932,580",34.0,12,2000
919,920,Seargin,Yes,Yes,Poland,Technology,168.70,39.02,"18,624,755","7,576,080",64.0,39,2014
920,921,TTP HOLDING,No,No,Germany,Support Services,168.68,39.02,"37,607,000","13,997,000",32.0,28,2009
921,922,Sweef furniture,No,No,Sweden,Retail,168.54,39.0,"9,506,903","3,620,585",14.0,5,2011
922,923,SONIC Tanácsadó és Szolgáltató Kft,No,No,Hungary,Technology,168.48,38.99,"4,646,080","2,009,719",10.0,5,2008
923,924,spotit,No,No,Belgium,Cyber Security,168.03,38.91,"20,387,729","7,606,472",71.0,30,2014
924,925,LABEL EXPERIENCE,Yes,No,France,Financial Services,168.01,38.91,"1,756,470","655,366",27.0,11,2016
925,926,LMM Logistics,Yes,No,Italy,Transport,167.88,38.88,"14,113,040","5,268,390",724.0,2,2015
926,927,Medicalfit,No,No,Spain,Health,167.73,38.86,"2,378,517","888,395",35.0,15,2008
927,928,Nuova MG,No,No,Italy,Industrial Goods,167.60,38.83,"2,126,840","794,770",26.0,23,2017
928,929,innov and co handicap,No,No,France,Technology,167.55,38.83,"1,879,824","702,609",30.0,7,2016
929,930,Alma Entreprise,No,No,France,Construction,167.54,38.82,"13,438,347","5,023,015",31.0,33,2003
930,931,Radit,No,No,Italy,Support Services,167.28,38.78,"1,879,520","703,190",15.0,8,2016
931,932,REGIONAL EXPRESS,No,Yes,France,Transport,167.07,38.74,"22,841,800","8,552,857",220.0,80,2013
932,933,Aravati,Yes,No,France,Support Services,166.79,38.69,"6,671,500","2,500,644",59.0,26,2004
933,934,Pöhner Hamburg,No,No,Germany,Retail,166.67,38.67,"15,603,000","5,851,000",7.0,4,2013
934,935,Schreinerei Huber,No,No,Germany,Construction,166.56,38.65,"2,629,044","986,286",21.0,18,2010
935,936,ISR,No,No,France,Technology,166.38,38.62,"4,637,943","1,741,112",12.0,12,1996
936,937,Kinga Mathe,Yes,No,Germany,Retail,166.18,38.59,"1,800,494","676,431",5.0,2,2008
937,938,Rivile,No,No,Lithuania,Technology,166.16,38.58,"3,905,042","1,467,195",24.0,20,1992
938,939,MaGarantie5ans,Yes,No,France,Retail,166.08,38.57,"9,253,546","3,477,788",20.0,8,2016
939,940,BEBEBOUTIK,No,No,France,Retail,165.71,38.51,"29,080,296","10,944,325",98.0,36,2012
940,941,Radar Cyber Security,No,Yes,Austria,Technology,165.43,38.46,"12,727,043","4,794,822",122.0,88,2011
941,942,CLAIR GROUP,Yes,Yes,France,Aerospace & Defence,165.35,38.44,"38,960,985","14,683,064",121.0,49,2004
942,943,Appsfactory,Yes,No,Germany,Technology,165.29,38.43,"18,044,631","6,801,966",221.0,105,2009
943,944,Stiltz Homelifts,No,Yes,UK,Interiors,164.93,38.37,"36,960,953","14,051,407",250.0,142,2010
944,945,Star Stone,Yes,No,Romania,Construction,164.83,38.35,"4,409,476","1,729,707",105.0,48,2012
945,946,Coptrz,No,No,UK,Aerospace & Defence,164.78,38.34,"6,297,471","2,395,445",22.0,10,2016
946,947,Nurole,No,Yes,UK,Technology,164.77,38.34,"3,249,493","1,236,098",35.0,15,2014
947,948,ABAO Energy,Yes,No,Germany,Construction,164.38,38.28,"2,406,917","910,386",15.0,10,2016
948,949,Welol Next,No,No,Italy,Technology,163.97,38.2,"2,685,440","1,017,320",32.0,16,2011
949,950,Intent HQ,No,No,UK,Technology,163.93,38.2,"5,762,891","2,199,126",75.0,22,2010
950,951,Café du Cycliste,No,Yes,France,Ecommerce,163.42,38.11,"7,445,865","2,826,571",20.0,14,2009
951,952,LANGER Lüftungs- und Klimaanlagen,No,No,Germany,Construction,163.42,38.11,"4,609,256","1,749,794",8.0,5,2016
952,953,Formind,Yes,Yes,France,Cyber Security,163.27,38.08,"16,845,354","6,398,583",130.0,60,2010
953,954,Oasis Smart SIM Europe**,No,No,France,Telecoms,162.65,37.97,"3,065,165","1,167,000",20.0,4,2010
954,955,Aferetica,Yes,No,Italy,Health,162.51,37.95,"6,376,910","2,429,230",13.0,9,2013
955,956,Zero,No,No,Italy,Energy,162.50,37.95,"42,000,000","16,000,000",37.0,15,2014
956,957,SKILLS,Yes,Yes,France,Support Services,162.17,37.89,"11,650,138","4,443,710",70.0,20,2011
957,958,3E Studio,No,No,Italy,Support Services,161.84,37.83,"2,804,580","1,071,090",22.0,1,2015
958,959,Pannonia Steel,No,No,Slovakia,Construction,161.81,37.82,"1,768,886","675,645",5.0,1,2013
959,960,Kronos,No,No,Italy,Fashion,161.72,37.81,"23,579,000","9,009,270",21.0,15,2009
960,961,LaSaponaria,No,No,Italy,Beauty,161.63,37.79,"6,304,690","2,409,730",22.0,11,2007
961,962,Die Wuhlewanderer,Yes,No,Germany,Health,161.58,37.78,"4,970,000","1,900,000",95.0,50,2013
962,963,IMINT Vidhance,No,No,Sweden,Technology,161.54,37.78,"4,851,538","1,897,113",27.0,26,2007
963,964,Arte e Passione,Yes,No,Italy,Restaurants,161.45,37.76,"1,671,730","639,410",47.0,18,2016
964,965,PAUL MARIUS,No,No,France,Retail,161.37,37.75,"24,869,602","9,515,000",87.0,29,2011
965,966,Scalefocus,No,No,Bulgaria,Technology,161.21,37.72,"33,137,857","12,686,177",730.0,330,2012
966,967,Whiskyzone,No,Yes,Germany,Retail,161.11,37.7,"10,750,866","4,117,340",16.0,7,2014
967,968,Targa Telematics,Yes,No,Italy,Technology,160.94,37.67,"37,386,150","14,327,610",113.0,63,2002
968,969,SIAN Wholesale Ltd,No,Yes,UK,Transport,160.04,37.51,"74,719,260","28,939,861",50.0,23,2003
969,970,Visage Technologies,Yes,No,Sweden,Technology,159.98,37.5,"5,677,639","2,233,448",104.0,54,2002
970,971,Riotloc,No,No,Lithuania,Games industry,159.92,37.49,"1,551,468","596,906",1.0,1,2016
971,972,BullionVault,No,No,UK,Precious metals,159.81,37.47,"16,196,046","6,278,456",34.0,31,2003
972,973,3A Antioxidants,No,No,Spain,Chemicals & Pharmaceuticals,159.49,37.42,"7,704,000","2,968,892",23.0,9,2000
973,974,on Metall,No,No,Germany,Industrial Goods,159.42,37.4,"2,587,718","997,518",6.0,3,2016
974,975,Scribbr,Yes,Yes,The Netherlands,Education,159.33,37.39,"8,862,818","3,417,536",39.0,22,2012
975,976,Selectra,Yes,No,France,Energy,158.84,37.3,"62,951,353","24,320,734",1000.0,500,2007
976,977,Energetic,No,No,Italy,Energy,158.58,37.26,"1,711,470","661,860",13.0,7,2010
977,978,Faveod,No,No,France,Support Services,158.40,37.22,"2,598,585","1,005,658",9.0,7,2007
978,979,CYE Energia,Yes,Yes,Spain,Energy,158.39,37.22,"23,673,728","9,161,867",15.0,5,2013
979,980,Integrata Oy,Yes,No,Finland,Financial Services,157.99,37.15,"9,409,000","3,647,000",105.0,33,2008
980,981,Regular Trade,No,No,Germany,Retail,157.87,37.13,"11,671,000","4,526,000",25.0,15,2010
981,982,Expleo,No,No,Hungary,Energy,157.82,37.12,"2,696,785","900,686",15.0,6,2011
982,983,Confezioni Velvet,No,No,Italy,Fashion,157.62,37.09,"3,355,870","1,302,640",21.0,21,2015
983,984,Activ Bilanz,Yes,No,Germany,Property,157.55,37.07,"17,286,985","6,712,146",10.0,12,1998
984,985,Family Nation,No,No,Italy,Ecommerce,157.40,37.05,"5,300,370","2,059,190",12.0,5,2011
985,986,Majar – Matzaridis Bros,Yes,No,Greece,Technology,157.07,36.99,"13,224,865","5,144,442",19.0,13,1994
986,987,Izertis,Yes,No,Spain,Technology,156.87,36.95,"50,740,841","19,753,150",791.0,431,1996
987,988,Fashion Commerce,Yes,No,Italy,Ecommerce,156.44,36.88,"2,349,000","916,000",5.0,1,2016
988,989,Bulk Tainer Logistics Limited,No,No,UK,Transport,156.27,36.85,"56,054,130","21,717,432",105.0,41,2009
989,990,Wingeco,No,No,Italy,Industrial Goods,155.74,36.75,"3,407,310","1,332,330",22.0,12,2016
990,991,Meblobranie.pl,Yes,Yes,Poland,Ecommerce,155.48,36.71,"19,295,429","6,909,799",25.0,12,2021
991,992,Queraltó,No,No,Spain,Ecommerce,155.39,36.69,"21,900,903","8,575,344",67.0,39,1898
992,993,Phobos,Yes,No,Slovakia,Automobiles,155.23,36.66,"3,529,454","1,382,844",12.0,8,1993
993,994,Archita Engineering,No,No,Italy,Support Services,155.02,36.62,"2,739,230","1,074,130",5.0,13,2013
994,995,Celeritas,No,No,Spain,Transport,154.94,36.61,"58,139,933","22,805,398",27.0,10,2006
995,996,peopleForecast,No,No,Germany,Technology,154.86,36.59,"2,086,411","818,658",45.0,15,2014
996,997,Digitalpa,No,No,Italy,Management Consulting,154.82,36.59,"1,731,340","679,440",12.0,41,2014
997,998,Faktenkontor,No,No,Germany,Advertising,154.81,36.59,"30,967,000","12,153,143",150.0,100,2003
998,999,CLAREO,Yes,Yes,France,Retail,154.80,36.58,"18,854,708","7,399,729",53.0,13,2012
999,1000,Laca Trade,Yes,Yes,Italy,Property,154.60,36.55,"24,741,510","9,717,860",5.0,5,2013
