Unnamed: 0,Name,Symbol,MarketCap,Price,Country,name,codice,pricecap,price,country
5106.0,Ares Commercial Real Estate,ACRE,$0.63 B,$11.74,USA,Ares Commercial Real Estate,ACRE,$0.62 B,$11.57,USA
5107.0,Vimeo,VMEO,$0.63 B,$3.84,USA,Vimeo,VMEO,$0.63 B,$3.83,USA
5108.0,Sleep Number,SNBR,$0.63 B,$29.03,USA,Sleep Number,SNBR,$0.75 B,$34.13,USA
5109.0,Novonix,NVX,$0.63 B,$5.24,Australia,Novonix,NVX,$0.63 B,$5.20,Australia
5110.0,Polyplex,POLYPLEX.NS,$0.63 B,$20.27,India,Polyplex,POLYPLEX.NS,$0.59 B,$18.86,India
5111.0,Nano Dimension,NNDM,$0.63 B,$2.47,USA,Nano Dimension,NNDM,$0.65 B,$2.53,USA
5112.0,Valhi,VHI,$0.63 B,$22.42,USA,Valhi,VHI,$0.69 B,$24.64,USA
5113.0,NHN Corp,181710.KS,$0.63 B,$19.26,S. Korea,NHN Corp,181710.KS,$0.69 B,$21.14,S. Korea
5114.0,G8 Education,GEM.AX,$0.63 B,$0.75,Australia,G8 Education,GEM.AX,$0.71 B,$0.84,Australia
5115.0,Kelly Services,KELYA,$0.63 B,$16.76,USA,Kelly Services,KELYA,$0.65 B,$17.42,USA
5116.0,Aerovate Therapeutics,AVTE,$0.63 B,$25.72,USA,Aerovate Therapeutics,AVTE,$0.61 B,$25.05,USA
5117.0,Endeavour Silver,EXK,$0.63 B,$3.33,Canada,Endeavour Silver,EXK,$0.69 B,$3.66,Canada
5118.0,Stoneridge,SRI,$0.63 B,$23.14,USA,Stoneridge,SRI,$0.62 B,$23.05,USA
5119.0,COLOPL,3668.T,$0.63 B,$4.93,Japan,COLOPL,3668.T,$0.63 B,$4.92,Japan
5120.0,edenor,EDN,$0.63 B,$7.31,gentina,edenor,EDN,$0.83 B,$9.84,Argentina
5121.0,TrueBlue,TBI,$0.63 B,$19.32,USA,TrueBlue,TBI,$0.67 B,$20.49,USA
5122.0,Syrma SGS Technology,SYRMA.NS,$0.63 B,$3.56,India,Syrma SGS Technology,SYRMA.NS,$0.58 B,$3.33,India
5123.0,Metropolitan Bank Holding,MCB,$0.63 B,$56.23,USA,Metropolitan Bank Holding,MCB,$0.66 B,$59.30,USA
5124.0,Entrada Therapeutics,TRDA,$0.63 B,$20.06,USA,Entrada Therapeutics,TRDA,$0.43 B,$13.71,USA
5125.0,Arqit Quantum,ARQQ,$0.62 B,$5.15,UK,Arqit Quantum,ARQQ,$0.33 B,$2.76,UK
5126.0,Cara Therapeutics,CARA,$0.62 B,$11.69,USA,Cara Therapeutics,CARA,$0.58 B,$10.85,USA
5127.0,Anterix,ATEX,$0.62 B,$33.11,USA,Anterix,ATEX,$0.69 B,$36.56,USA
5128.0,BrightView,BV,$0.62 B,$6.75,USA,BrightView,BV,$0.71 B,$7.71,USA
5129.0,IES Holdings,IESC,$0.62 B,$31.00,USA,IES Holdings,IESC,$0.79 B,$39.49,USA
5130.0,Innoviz,INVZ,$0.62 B,$4.61,Israel,Innoviz,INVZ,$0.69 B,$5.09,Israel
5131.0,DoubleUGames,192080.KS,$0.62 B,$37.44,S. Korea,DoubleUGames,192080.KS,$0.66 B,$39.65,S. Korea
5132.0,AlloVir,ALVR,$0.62 B,$6.70,USA,AlloVir,ALVR,$0.54 B,$5.86,USA
5133.0,RAPT Therapeutics,RAPT,$0.62 B,$18.37,USA,RAPT Therapeutics,RAPT,$0.89 B,$26.30,USA
5134.0,Repare Therapeutics,RPTX,$0.62 B,$14.86,Canada,Repare Therapeutics,RPTX,$0.53 B,$12.85,Canada
5135.0,RE/MAX Holdings,RMAX,$0.62 B,$20.23,USA,RE/MAX Holdings,RMAX,$0.65 B,$21.15,USA
5136.0,Bluelinx,BXC,$0.62 B,$68.93,USA,Bluelinx,BXC,$0.72 B,$79.99,USA
5137.0,Thryv,THRY,$0.62 B,$18.05,USA,Thryv,THRY,$0.68 B,$19.96,USA
5138.0,SilverBow Resources,SBOW,$0.62 B,$27.88,USA,SilverBow Resources,SBOW,$0.61 B,$27.37,USA
5139.0,Aehr Test Systems,AEHR,$0.62 B,$22.60,USA,Aehr Test Systems,AEHR,$0.80 B,$29.24,USA
5140.0,Transport Corporation of India,TCI.NS,$0.62 B,$8.01,India,Transport Corporation of India,TCI.NS,$0.58 B,$7.53,India
5141.0,Godawari Power & Ispat,GPIL.NS,$0.62 B,$4.40,India,Godawari Power & Ispat,GPIL.NS,$0.70 B,$4.97,India
5142.0,Genco Shipping & Trading,GNK,$0.61 B,$14.63,USA,Genco Shipping & Trading,GNK,$0.68 B,$16.13,USA
5143.0,Vital Farms,VITL,$0.61 B,$15.20,USA,Vital Farms,VITL,$0.66 B,$16.29,USA
5144.0,Intercept Pharmaceuticals,ICPT,$0.61 B,$14.94,USA,Intercept Pharmaceuticals,ICPT,$0.67 B,$16.30,USA
5145.0,Indus Holding,INH.F,$0.61 B,$22.83,Germany,Indus Holding,INH.F,$0.73 B,$27.15,Germany
5146.0,Algoma Steel,ASTL,$0.61 B,$5.94,Canada,Algoma Steel,ASTL,$0.66 B,$6.38,Canada
5147.0,Karnataka Bank,KTKBANK.NS,$0.61 B,$1.98,India,Karnataka Bank,KTKBANK.NS,$0.58 B,$1.87,India
5148.0,Navitas Semiconductor,NVTS,$0.61 B,$4.01,Ireland,Navitas Semiconductor,NVTS,$0.70 B,$4.58,Ireland
5149.0,Bionano Genomics,BNGO,$0.61 B,$2.07,USA,Bionano Genomics,BNGO,$0.53 B,$1.81,USA
5150.0,Ardmore Shipping,ASC,$0.61 B,$15.15,Bermuda,Ardmore Shipping,ASC,$0.57 B,$14.10,Bermuda
5151.0,Greene County Bancorp,GCBC,$0.61 B,$72.15,USA,Greene County Bancorp,GCBC,$0.45 B,$54.00,USA
5152.0,2U,TWOU,$0.61 B,$7.85,USA,2U,TWOU,$0.58 B,$7.43,USA
5153.0,VRL Logistics,VRLLOG.NS,$0.61 B,$6.95,India,VRL Logistics,VRLLOG.NS,$0.60 B,$6.82,India
5154.0,Cano Health,CANO,$0.61 B,$1.23,USA,Cano Health,CANO,$0.73 B,$1.48,USA
5155.0,Health Catalyst,HCAT,$0.61 B,$11.19,USA,Health Catalyst,HCAT,$0.66 B,$12.12,USA
5156.0,DRDGOLD,DRD,$0.61 B,$7.14,South Africa,DRDGOLD,DRD,$0.76 B,$8.95,South Africa
5157.0,YG Entertainment,122870.KQ,$0.61 B,$33.66,S. Korea,YG Entertainment,122870.KQ,$0.71 B,$39.08,S. Korea
5158.0,Kura Sushi USA,KRUS,$0.61 B,$62.49,USA,Kura Sushi USA,KRUS,$0.56 B,$57.46,USA
5159.0,Interface,TILE,$0.61 B,$10.50,USA,Interface,TILE,$0.64 B,$11.03,USA
5160.0,Camden National Bank,CAC,$0.60 B,$41.85,USA,Camden National Bank,CAC,$0.61 B,$42.34,USA
5161.0,Hingham Institution for Savings,HIFS,$0.60 B,$284.11,USA,Hingham Institution for Savings,HIFS,$0.63 B,$295.97,USA
5162.0,Haynes International,HAYN,$0.60 B,$48.62,USA,Haynes International,HAYN,$0.67 B,$54.20,USA
5163.0,Cass Information Systems,CASS,$0.60 B,$44.54,USA,Cass Information Systems,CASS,$0.66 B,$48.77,USA
5164.0,Amprius Technologies,AMPX,$0.60 B,$7.20,USA,Amprius Technologies,AMPX,$0.51 B,$6.15,USA
5165.0,Calavo Growers,CVGW,$0.60 B,$34.29,USA,Calavo Growers,CVGW,$0.56 B,$31.95,USA
5166.0,Dynex Capital,DX,$0.60 B,$13.07,USA,Dynex Capital,DX,$0.66 B,$14.34,USA
5167.0,Aedas Homes,AEDAS.MC,$0.60 B,$13.75,Spain,Aedas Homes,AEDAS.MC,$0.72 B,$16.38,Spain
5168.0,Standard Lithium,SLI,$0.60 B,$3.60,Canada,Standard Lithium,SLI,$0.61 B,$3.70,Canada
5169.0,Viad,VVI,$0.60 B,$29.25,USA,Viad,VVI,$0.52 B,$25.57,USA
5170.0,MediaAlpha,MAX,$0.60 B,$10.04,USA,MediaAlpha,MAX,$0.67 B,$11.25,USA
5171.0,Brooge Energy,BROG,$0.60 B,$5.50,ited Arab Emirates,Brooge Energy,BROG,$0.70 B,$6.40,UAE
5172.0,TPG Real Estate Finance Trust,TRTX,$0.60 B,$7.78,USA,TPG Real Estate Finance Trust,TRTX,$0.61 B,$7.94,USA
5173.0,Allied Motion Technologies,AMOT,$0.59 B,$37.75,USA,Allied Motion Technologies,AMOT,$0.63 B,$40.20,USA
5174.0,Bakhu Holdings,BKUH,$0.59 B,$1.99,USA,Bakhu Holdings,BKUH,$0.30 B,$1.00,USA
5175.0,Com2uS,078340.KQ,$0.59 B,$48.14,S. Korea,Com2uS,078340.KQ,$0.65 B,$52.62,S. Korea
5176.0,Vacasa,VCSA,$0.59 B,$1.32,USA,Vacasa,VCSA,$0.76 B,$1.69,USA
5177.0,CION Investment,CION,$0.59 B,$10.79,USA,CION Investment,CION,$0.59 B,$10.70,USA
5178.0,Allakos,ALLK,$0.59 B,$7.01,USA,Allakos,ALLK,$0.67 B,$7.92,USA
5179.0,Kimball Electronics,KE,$0.59 B,$24.16,USA,Kimball Electronics,KE,$0.60 B,$24.31,USA
5180.0,Denny's,DENN,$0.59 B,$10.43,USA,Denny's,DENN,$0.69 B,$12.13,USA
5181.0,Kaman,KAMN,$0.59 B,$21.27,USA,Kaman,KAMN,$0.65 B,$23.48,USA
5182.0,Ducommun,DCO,$0.59 B,$49.21,USA,Ducommun,DCO,$0.69 B,$57.40,USA
5183.0,Emergent BioSolutions,EBS,$0.59 B,$11.91,USA,Emergent BioSolutions,EBS,$0.66 B,$13.43,USA
5184.0,Gujarat Mineral Development,GMDCLTD.NS,$0.59 B,$1.87,India,Gujarat Mineral Development,GMDCLTD.NS,$0.61 B,$1.94,India
5185.0,B Communications,BCOM.TA,$0.59 B,$5.51,Israel,B Communications,BCOM.TA,$0.56 B,$5.24,Israel
5186.0,Berry Corporation,BRY,$0.59 B,$7.72,USA,Berry Corporation,BRY,$0.66 B,$8.66,USA
5187.0,Jin Air,272450.KS,$0.59 B,$11.50,S. Korea,Jin Air,272450.KS,$0.71 B,$13.86,S. Korea
5188.0,VSE Corporation,VSEC,$0.59 B,$46.28,USA,VSE Corporation,VSEC,$0.65 B,$50.97,USA
5189.0,Silvergate Capital,SI,$0.59 B,$18.71,USA,Silvergate Capital,SI,$0.41 B,$13.20,USA
5190.0,Faro Technologies,FARO,$0.59 B,$31.52,USA,Faro Technologies,FARO,$0.65 B,$34.67,USA
5191.0,NEUCA,NEU.WA,$0.59 B,$137.38,Poland,NEUCA,NEU.WA,$0.62 B,$144.67,Poland
5192.0,Snap One,SNPO,$0.59 B,$7.79,USA,Snap One,SNPO,$0.65 B,$8.69,USA
5193.0,Cathay Real Estate Development,2501.TW,$0.59 B,$0.51,Taiwan,Cathay Real Estate Development,2501.TW,$0.61 B,$0.53,Taiwan
5194.0,PDS Multinational,PDSMFL.NS,$0.59 B,$22.65,India,PDS Multinational,PDSMFL.NS,$0.59 B,$22.65,India
5195.0,Heidrick & Struggles,HSII,$0.59 B,$29.73,USA,Heidrick & Struggles,HSII,$0.58 B,$29.29,USA
5196.0,Via S.A.,VIIA3.SA,$0.58 B,$0.37,Brazil,Via S.A.,VIIA3.SA,$0.73 B,$0.47,Brazil
5197.0,Neowiz Games,095660.KQ,$0.58 B,$27.85,S. Korea,Neowiz Games,095660.KQ,$0.66 B,$31.52,S. Korea
5198.0,Newegg,NEGG,$0.58 B,$1.57,USA,Newegg,NEGG,$0.77 B,$2.07,USA
5199.0,Cardiovascular Systems,CSII,$0.58 B,$14.05,USA,Cardiovascular Systems,CSII,$0.58 B,$14.00,USA
5200.0,Flushing Financial Corp,FFIC,$0.58 B,$19.74,USA,Flushing Financial Corp,FFIC,$0.59 B,$20.03,USA
5201.0,Yalla Group,YALA,$0.58 B,$3.96,ited Arab Emirates,Yalla Group,YALA,$0.66 B,$4.46,UAE
5202.0,JBM Auto,JBMA.NS,$0.58 B,$4.95,India,JBM Auto,JBMA.NS,$0.79 B,$6.76,India
5203.0,YIT,YIT.HE,$0.58 B,$2.80,Finland,YIT,YIT.HE,$0.64 B,$3.08,Finland
5204.0,NETGEAR,NTGR,$0.58 B,$20.29,USA,NETGEAR,NTGR,$0.59 B,$20.46,USA
5205.0,BBVA Argentina,BBAR,$0.58 B,$2.87,gentina,BBVA Argentina,BBAR,$0.95 B,$4.66,Argentina
5206.0,Riley Permian,REPX,$0.58 B,$29.06,USA,Riley Permian,REPX,$0.70 B,$34.96,USA
5207.0,Coherus BioSciences,CHRS,$0.58 B,$7.51,USA,Coherus BioSciences,CHRS,$0.81 B,$10.45,USA
5208.0,Nurix Therapeutics,NRIX,$0.58 B,$12.36,USA,Nurix Therapeutics,NRIX,$0.54 B,$11.66,USA
5209.0,Cloetta,CLA-B.ST,$0.58 B,$2.02,Sweden,Cloetta,CLA-B.ST,$0.60 B,$2.13,Sweden
5210.0,Luther Burbank,LBC,$0.58 B,$11.39,USA,Luther Burbank,LBC,$0.61 B,$12.07,USA
5211.0,Norma Group,NOEJ.F,$0.57 B,$17.88,Germany,Norma Group,NOEJ.F,$0.65 B,$20.38,Germany
